Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,,,,,224.964704409885
2020,,,,,229.628339568722
2022,,,,,221.645128185958
2023,,,,,213.552103858145
2024,,,,,208.272562607894
2018,Canada,Toutes les matières,Sources des matières résidentielles récupérées,,
2018,Canada,Toutes les matières,Sources des matières non résidentielles récupérées,,
2018,Canada,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,,80.1046432650296
2018,Canada,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,,32.2895711174446
2018,Canada,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,,47.8150721475849
2018,Canada,Verre,Toutes les sources des matières récupérées,,11.1389483667461
2018,Canada,Verre,Sources des matières résidentielles récupérées,,7.59536283111364
2018,Canada,Verre,Sources des matières non résidentielles récupérées,,3.5435855356325
2018,Canada,Métaux ferreux,Toutes les sources des matières récupérées,,8.94943491989506
2018,Canada,Métaux ferreux,Sources des matières résidentielles récupérées,,2.66970610655519
2018,Canada,Métaux ferreux,Sources des matières non résidentielles récupérées,,6.27970183925495
2018,Canada,Cuivre et aluminium,Toutes les sources des matières récupérées,,2.33236820057498
2018,Canada,Cuivre et aluminium,Sources des matières résidentielles récupérées,,1.29259814925409
2018,Canada,Cuivre et aluminium,Sources des matières non résidentielles récupérées,,1.03977005132089
2018,Canada,Métaux mélangés,Toutes les sources des matières récupérées,,3.37688569084138
2018,Canada,Métaux mélangés,Sources des matières résidentielles récupérées,,1.83599108992027
2018,Canada,Métaux mélangés,Sources des matières non résidentielles récupérées,,1.54089460092111
2018,Canada,Électroménagers,Toutes les sources des matières récupérées,,1.8768298544856
2018,Canada,Électroménagers,Sources des matières résidentielles récupérées,,1.19826977429704
2018,Canada,Électroménagers,Sources des matières non résidentielles récupérées,,0.67856008018856
2018,Canada,Matériel électronique,Toutes les sources des matières récupérées,,2.83956191928167
2018,Canada,Matériel électronique,Sources des matières résidentielles récupérées,,
2018,Canada,Matériel électronique,Sources des matières non résidentielles récupérées,,
2018,Canada,Matières plastiques,Toutes les sources des matières récupérées,,8.86341456309265
2018,Canada,Matières plastiques,Sources des matières résidentielles récupérées,,6.22499839504195
2018,Canada,Matières plastiques,Sources des matières non résidentielles récupérées,,2.63841616805071
2018,Canada,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,,0.557608283417789
2018,Canada,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,,0.48140649352541
2018,Canada,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,,0.0762017898923788
2018,Canada,Textiles,Toutes les sources des matières récupérées,,0.332455596610113
2018,Canada,Textiles,Sources des matières résidentielles récupérées,,0.285790429702568
2018,Canada,Textiles,Sources des matières non résidentielles récupérées,,0.0466651669075452
2018,Canada,Pneus,Toutes les sources des matières récupérées,,13.1607639276641
2018,Canada,Pneus,Sources des matières résidentielles récupérées,,
2018,Canada,Pneus,Sources des matières non résidentielles récupérées,,
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,,14.6860675075028
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,,3.17285371252423
2018,Canada,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,,11.5132137949786
2018,Canada,Toutes les matières organiques,Toutes les sources des matières récupérées,,75.020136154391
2018,Canada,Toutes les matières organiques,Sources des matières résidentielles récupérées,,59.3637568642303
2018,Canada,Toutes les matières organiques,Sources des matières non résidentielles récupérées,,15.6563792901608
2018,Canada,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,,
2018,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,,
2018,Canada,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,,
2018,Canada,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,,
2018,Canada,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,,
2018,Canada,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,,
2018,Canada,Autres matières organiques,Toutes les sources des matières récupérées,,
2018,Canada,Autres matières organiques,Sources des matières résidentielles récupérées,,
2018,Canada,Autres matières organiques,Sources des matières non résidentielles récupérées,,
2018,Canada,Autres matières,Toutes les sources des matières récupérées,,1.72561313443722
2018,Canada,Autres matières,Sources des matières résidentielles récupérées,,1.25389033739725
2018,Canada,Autres matières,Sources des matières non résidentielles récupérées,,0.471722797039972
2018,Terre-Neuve-et-Labrador,Toutes les matières,Toutes les sources des matières récupérées,10,78.9909954920685
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Toutes les matières,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,10,54.2749648941526
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,10,25.455997517042
2018,Terre-Neuve-et-Labrador,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,10,28.8189673771106
2018,Terre-Neuve-et-Labrador,Verre,Toutes les sources des matières récupérées,10,
