Year,Series,Type de catastrophe naturelle,Value
2015,,,1995.2
2016,,,4845.27
2017,,,920.81
2018,,,5815.99
2019,,,34.55
2020,,,1330.34
2015,Nombre,Météorologique - Inondation,3200.0
2015,Nombre,Météorologique - Tempête,556061.0
2015,Nombre,Météorologique - Tornade,150006.0
2015,Nombre,Météorologique - Feu de forêt,576.0
2015,Nombre,Meteorological - Winter storm,2500.0
2016,Nombre,Météorologique - Inondation,34333.0
2016,Nombre,Météorologique - Tempête,1233151.0
2016,Nombre,Météorologique - Tornade,2070.0
2016,Nombre,Météorologique - Feu de forêt,77547.0
2016,Nombre,Meteorological - Winter storm,402501.0
2017,Nombre,Météorologique - Inondation,23041.0
2017,Nombre,Météorologique - Tempête,4470.0
2017,Nombre,Météorologique - Feu de forêt,309000.0
2017,Nombre,Meteorological - Winter storm,0.0
2018,Nombre,Météorologique - Inondation,61233.0
2018,Nombre,Meteorological - Heat event,117000.0
2018,Nombre,Météorologique - Tempête,1872001.0
2018,Nombre,Météorologique - Tornade,300.0
2018,Nombre,Météorologique - Feu de forêt,105166.0
2018,Nombre,Meteorological - Winter storm,0.0
2019,Nombre,Météorologique - Inondation,1790.0
2019,Nombre,Météorologique - Ouragan,5000.0
2019,Nombre,Météorologique - Tempête,2.0
2019,Nombre,Météorologique - Feu de forêt,200.0
2019,Nombre,Meteorological - Winter storm,6000.0
2020,Nombre,Météorologique - Inondation,1.0
2020,Nombre,Météorologique - Tempête,493604.0
2020,Nombre,Météorologique - Feu de forêt,12021.0
2020,Nombre,Meteorological - Winter storm,0.0
2015,Taux pour 100 000 habitants,Météorologique - Inondation,8.96
2015,Taux pour 100 000 habitants,Météorologique - Tempête,1557.47
2015,Taux pour 100 000 habitants,Météorologique - Tornade,420.15
2015,Taux pour 100 000 habitants,Météorologique - Feu de forêt,1.61
2015,Taux pour 100 000 habitants,Meteorological - Winter storm,7.0
2016,Taux pour 100 000 habitants,Météorologique - Inondation,95.08
2016,Taux pour 100 000 habitants,Météorologique - Tempête,3415.03
2016,Taux pour 100 000 habitants,Météorologique - Tornade,5.73
2016,Taux pour 100 000 habitants,Météorologique - Feu de forêt,214.76
2016,Taux pour 100 000 habitants,Meteorological - Winter storm,1114.67
2017,Taux pour 100 000 habitants,Météorologique - Inondation,63.05
2017,Taux pour 100 000 habitants,Météorologique - Tempête,12.23
2017,Taux pour 100 000 habitants,Météorologique - Feu de forêt,845.53
2017,Taux pour 100 000 habitants,Meteorological - Winter storm,0.0
2018,Taux pour 100 000 habitants,Météorologique - Inondation,165.2
2018,Taux pour 100 000 habitants,Meteorological - Heat event,315.66
2018,Taux pour 100 000 habitants,Météorologique - Tempête,5050.58
2018,Taux pour 100 000 habitants,Météorologique - Tornade,0.81
2018,Taux pour 100 000 habitants,Météorologique - Feu de forêt,283.73
2018,Taux pour 100 000 habitants,Meteorological - Winter storm,0.0
2019,Taux pour 100 000 habitants,Météorologique - Inondation,4.76
2019,Taux pour 100 000 habitants,Météorologique - Ouragan,13.3
2019,Taux pour 100 000 habitants,Météorologique - Tempête,0.01
2019,Taux pour 100 000 habitants,Météorologique - Feu de forêt,0.53
2019,Taux pour 100 000 habitants,Meteorological - Winter storm,15.96
2020,Taux pour 100 000 habitants,Météorologique - Inondation,0.0
2020,Taux pour 100 000 habitants,Météorologique - Tempête,1298.71
2020,Taux pour 100 000 habitants,Météorologique - Feu de forêt,31.63
2020,Taux pour 100 000 habitants,Meteorological - Winter storm,0.0
