Year,Géographie,Source,GeoCode,Value
1990,,,,607.749
1991,,,,603.138
1992,,,,621.535
1993,,,,626.611
1994,,,,649.034
1995,,,,667.913
1996,,,,689.258
1997,,,,705.538
1998,,,,712.158
1999,,,,722.853
2000,,,,747.739
2001,,,,738.885
2002,,,,744.657
2003,,,,763.143
2004,,,,766.724
2005,,,,761.492
2006,,,,756.77
2007,,,,776.521
2008,,,,759.573
2009,,,,716.135
2010,,,,728.517
2011,,,,738.322
2012,,,,743.855
2013,,,,750.97
2014,,,,749.706
2015,,,,745.716
2016,,,,731.323
2017,,,,742.01
2018,,,,752.631
2019,,,,752.025
2020,,,,686.362
2021,,,,698.441
2022,,,,707.767
1990,Alberta,Inventaire provincial,48,177.176
1990,Alberta,Exploitation pétrolière et gazière,48,73.203
1990,Alberta,Transports,48,15.213
1990,Alberta,Industrie lourde,48,12.768
1990,Alberta,"Fabrication légère, construction et ressources forestières",48,6.278
1990,Alberta,Bâtiments,48,12.223
1990,Alberta,Déchets et autres,48,2.151
1990,Alberta,Agriculture,48,14.704
1990,Colombie-Britannique,Inventaire provincial,59,51.131
1990,Colombie-Britannique,Exploitation pétrolière et gazière,59,8.378
1990,Colombie-Britannique,Transports,59,15.013
1990,Colombie-Britannique,Industrie lourde,59,8.894
1990,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",59,3.334
1990,Colombie-Britannique,Bâtiments,59,7.698
1990,Colombie-Britannique,Déchets et autres,59,2.686
1990,Colombie-Britannique,Agriculture,59,2.438
1990,Canada,Transports,,117.874
1990,Canada,Industrie lourde,,96.795
1990,Canada,"Fabrication légère, construction et ressources forestières",,31.515
1990,Canada,Bâtiments,,72.382
1990,Canada,Déchets et autres,,21.314
1990,Canada,Agriculture,,50.682
1990,Canada,Exploitation pétrolière et gazière,,118.201
1990,Manitoba,Inventaire provincial,46,18.23
1990,Manitoba,Exploitation pétrolière et gazière,46,1.502
1990,Manitoba,Transports,46,5.01
1990,Manitoba,Industrie lourde,46,1.447
1990,Manitoba,"Fabrication légère, construction et ressources forestières",46,0.77
1990,Manitoba,Bâtiments,46,3.11
1990,Manitoba,Déchets et autres,46,0.883
1990,Manitoba,Agriculture,46,4.984
1990,Nouveau-Brunswick,Inventaire provincial,13,16.17
1990,Nouveau-Brunswick,Exploitation pétrolière et gazière,13,1.219
1990,Nouveau-Brunswick,Transports,13,3.513
1990,Nouveau-Brunswick,Industrie lourde,13,1.816
1990,Nouveau-Brunswick,"Fabrication légère, construction et ressources forestières",13,0.634
1990,Nouveau-Brunswick,Bâtiments,13,1.664
1990,Nouveau-Brunswick,Déchets et autres,13,0.782
1990,Nouveau-Brunswick,Agriculture,13,0.519
1990,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.47
1990,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.074
1990,Terre-Neuve-et-Labrador,Transports,10,2.694
1990,Terre-Neuve-et-Labrador,Industrie lourde,10,1.935
1990,Terre-Neuve-et-Labrador,"Fabrication légère, construction et ressources forestières",10,0.383
1990,Terre-Neuve-et-Labrador,Bâtiments,10,1.064
1990,Terre-Neuve-et-Labrador,Déchets et autres,10,0.601
1990,Terre-Neuve-et-Labrador,Agriculture,10,0.078
1990,Territoires du Nord-Ouest,Inventaire territorial,61,1.789
1990,Territoires du Nord-Ouest,Exploitation pétrolière et gazière,61,0.393
1990,Territoires du Nord-Ouest,Transports,61,0.524
1990,Territoires du Nord-Ouest,Industrie lourde,61,0.193
1990,Territoires du Nord-Ouest,"Fabrication légère, construction et ressources forestières",61,0.073
1990,Territoires du Nord-Ouest,Bâtiments,61,0.409
1990,Territoires du Nord-Ouest,Déchets et autres,61,0.038
1990,Territoires du Nord-Ouest,Agriculture,61,0.002
1990,Nouvelle-Écosse,Inventaire provincial,12,19.604
1990,Nouvelle-Écosse,Exploitation pétrolière et gazière,12,0.717
1990,Nouvelle-Écosse,Transports,12,4.116
1990,Nouvelle-Écosse,Industrie lourde,12,1.062
1990,Nouvelle-Écosse,"Fabrication légère, construction et ressources forestières",12,0.63
1990,Nouvelle-Écosse,Bâtiments,12,2.967
1990,Nouvelle-Écosse,Déchets et autres,12,0.801
1990,Nouvelle-Écosse,Agriculture,12,0.571
1990,Ontario,Inventaire provincial,35,178.443
1990,Ontario,Exploitation pétrolière et gazière,35,10.411
1990,Ontario,Transports,35,41.537
1990,Ontario,Industrie lourde,35,42.185
1990,Ontario,"Fabrication légère, construction et ressources forestières",35,12.88
1990,Ontario,Bâtiments,35,27.59
1990,Ontario,Déchets et autres,35,7.315
1990,Ontario,Agriculture,35,10.852
1990,Île-du-Prince-Édouard,Inventaire provincial,11,1.781
1990,Île-du-Prince-Édouard,Exploitation pétrolière et gazière,11,0.0
1990,Île-du-Prince-Édouard,Transports,11,0.533
1990,Île-du-Prince-Édouard,Industrie lourde,11,0.01
1990,Île-du-Prince-Édouard,"Fabrication légère, construction et ressources forestières",11,0.133
1990,Île-du-Prince-Édouard,Bâtiments,11,0.57
1990,Île-du-Prince-Édouard,Déchets et autres,11,0.073
1990,Île-du-Prince-Édouard,Agriculture,11,0.358
1990,Québec,Inventaire provincial,24,84.384
1990,Québec,Exploitation pétrolière et gazière,24,3.948
1990,Québec,Transports,24,24.594
1990,Québec,Industrie lourde,24,24.674
1990,Québec,"Fabrication légère, construction et ressources forestières",24,5.585
1990,Québec,Bâtiments,24,11.815
1990,Québec,Déchets et autres,24,4.966
1990,Québec,Agriculture,24,7.272
1990,Saskatchewan,Inventaire provincial,47,49.021
1990,Saskatchewan,Exploitation pétrolière et gazière,47,17.356
1990,Saskatchewan,Transports,47,4.904
1990,Saskatchewan,Industrie lourde,47,1.737
1990,Saskatchewan,"Fabrication légère, construction et ressources forestières",47,0.787
1990,Saskatchewan,Bâtiments,47,3.162
1990,Saskatchewan,Déchets et autres,47,0.998
1990,Saskatchewan,Agriculture,47,8.9
1990,Yukon,Inventaire territorial,60,0.55
1990,Yukon,Exploitation pétrolière et gazière,60,0.0
1990,Yukon,Transports,60,0.224
1990,Yukon,Industrie lourde,60,0.074
1990,Yukon,"Fabrication légère, construction et ressources forestières",60,0.027
1990,Yukon,Bâtiments,60,0.109
1990,Yukon,Déchets et autres,60,0.02
1990,Yukon,Agriculture,60,0.004
1991,Alberta,Inventaire provincial,48,178.214
1991,Alberta,Exploitation pétrolière et gazière,48,74.158
1991,Alberta,Transports,48,13.887
1991,Alberta,Industrie lourde,48,13.236
1991,Alberta,"Fabrication légère, construction et ressources forestières",48,5.558
1991,Alberta,Bâtiments,48,11.977
1991,Alberta,Déchets et autres,48,1.933
1991,Alberta,Agriculture,48,14.963
1991,Colombie-Britannique,Inventaire provincial,59,50.135
1991,Colombie-Britannique,Exploitation pétrolière et gazière,59,8.037
1991,Colombie-Britannique,Transports,59,14.966
1991,Colombie-Britannique,Industrie lourde,59,9.168
1991,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",59,2.62
1991,Colombie-Britannique,Bâtiments,59,7.833
1991,Colombie-Britannique,Déchets et autres,59,2.55
1991,Colombie-Britannique,Agriculture,59,2.528
1991,Canada,Exploitation pétrolière et gazière,,119.715
1991,Canada,Transports,,113.246
1991,Canada,Industrie lourde,,96.616
1991,Canada,"Fabrication légère, construction et ressources forestières",,29.159
1991,Canada,Bâtiments,,71.728
1991,Canada,Déchets et autres,,21.383
1991,Canada,Agriculture,,50.784
1991,Manitoba,Inventaire provincial,46,17.907
1991,Manitoba,Exploitation pétrolière et gazière,46,1.637
1991,Manitoba,Transports,46,4.866
1991,Manitoba,Industrie lourde,46,1.346
1991,Manitoba,"Fabrication légère, construction et ressources forestières",46,0.694
1991,Manitoba,Bâtiments,46,3.032
1991,Manitoba,Déchets et autres,46,0.916
1991,Manitoba,Agriculture,46,5.027
1991,Nouveau-Brunswick,Inventaire provincial,13,15.507
1991,Nouveau-Brunswick,Exploitation pétrolière et gazière,13,1.157
1991,Nouveau-Brunswick,Transports,13,3.442
1991,Nouveau-Brunswick,Industrie lourde,13,1.759
1991,Nouveau-Brunswick,"Fabrication légère, construction et ressources forestières",13,0.629
1991,Nouveau-Brunswick,Bâtiments,13,1.751
1991,Nouveau-Brunswick,Déchets et autres,13,0.796
1991,Nouveau-Brunswick,Agriculture,13,0.524
1991,Terre-Neuve-et-Labrador,Inventaire provincial,10,8.415
1991,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.041
1991,Terre-Neuve-et-Labrador,Transports,10,2.651
1991,Terre-Neuve-et-Labrador,Industrie lourde,10,1.396
1991,Terre-Neuve-et-Labrador,"Fabrication légère, construction et ressources forestières",10,0.302
1991,Terre-Neuve-et-Labrador,Bâtiments,10,1.019
1991,Terre-Neuve-et-Labrador,Déchets et autres,10,0.614
1991,Terre-Neuve-et-Labrador,Agriculture,10,0.091
1991,Territoires du Nord-Ouest,Inventaire territorial,61,1.761
1991,Territoires du Nord-Ouest,Exploitation pétrolière et gazière,61,0.313
1991,Territoires du Nord-Ouest,Transports,61,0.485
1991,Territoires du Nord-Ouest,Industrie lourde,61,0.144
1991,Territoires du Nord-Ouest,"Fabrication légère, construction et ressources forestières",61,0.048
1991,Territoires du Nord-Ouest,Bâtiments,61,0.568
1991,Territoires du Nord-Ouest,Déchets et autres,61,0.039
1991,Territoires du Nord-Ouest,Agriculture,61,0.009
1991,Nouvelle-Écosse,Inventaire provincial,12,19.267
1991,Nouvelle-Écosse,Exploitation pétrolière et gazière,12,0.793
1991,Nouvelle-Écosse,Transports,12,3.915
1991,Nouvelle-Écosse,Industrie lourde,12,0.91
1991,Nouvelle-Écosse,"Fabrication légère, construction et ressources forestières",12,0.529
1991,Nouvelle-Écosse,Bâtiments,12,2.7
1991,Nouvelle-Écosse,Déchets et autres,12,0.812
1991,Nouvelle-Écosse,Agriculture,12,0.645
1991,Ontario,Inventaire provincial,35,177.605
1991,Ontario,Exploitation pétrolière et gazière,35,9.781
1991,Ontario,Transports,35,39.748
1991,Ontario,Industrie lourde,35,42.207
1991,Ontario,"Fabrication légère, construction et ressources forestières",35,12.478
1991,Ontario,Bâtiments,35,27.821
1991,Ontario,Déchets et autres,35,7.608
1991,Ontario,Agriculture,35,10.668
1991,Île-du-Prince-Édouard,Inventaire provincial,11,1.73
1991,Île-du-Prince-Édouard,Exploitation pétrolière et gazière,11,0.0
1991,Île-du-Prince-Édouard,Transports,11,0.533
1991,Île-du-Prince-Édouard,Industrie lourde,11,0.009
1991,Île-du-Prince-Édouard,"Fabrication légère, construction et ressources forestières",11,0.137
1991,Île-du-Prince-Édouard,Bâtiments,11,0.534
1991,Île-du-Prince-Édouard,Déchets et autres,11,0.074
1991,Île-du-Prince-Édouard,Agriculture,11,0.351
1991,Québec,Inventaire provincial,24,79.922
1991,Québec,Exploitation pétrolière et gazière,24,3.431
1991,Québec,Transports,24,23.299
1991,Québec,Industrie lourde,24,24.593
1991,Québec,"Fabrication légère, construction et ressources forestières",24,4.85
1991,Québec,Bâtiments,24,11.111
1991,Québec,Déchets et autres,24,4.983
1991,Québec,Agriculture,24,7.129
1991,Saskatchewan,Inventaire provincial,47,52.163
