Year,Series,Units,Value
1990,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1443084
1991,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1382854
1992,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1321508
1993,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1265739
1994,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1179855
1995,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.113524
1996,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1096202
1997,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1054933
1998,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.1013664
1999,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0966819
2000,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0916627
2001,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0873127
2002,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0829627
2003,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0771628
2004,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0716975
2005,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0663437
2006,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.061436
2007,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0529591
2008,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0477169
2009,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0425862
2010,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0379016
2011,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0334401
2012,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0287555
2013,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0239594
2014,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0180479
2015,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0116903
2016,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),41.0054441
2017,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.999198
2018,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9933981
2019,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9878212
2020,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9821328
2021,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9765559
2022,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40.9710906
1990,Superficie forestière,Hectares,368883000.0
1991,Superficie forestière,Hectares,368829000.0
1992,Superficie forestière,Hectares,368774000.0
1993,Superficie forestière,Hectares,368724000.0
1994,Superficie forestière,Hectares,368647000.0
1995,Superficie forestière,Hectares,368607000.0
1996,Superficie forestière,Hectares,368572000.0
1997,Superficie forestière,Hectares,368535000.0
1998,Superficie forestière,Hectares,368498000.0
1999,Superficie forestière,Hectares,368456000.0
2000,Superficie forestière,Hectares,368411000.0
2001,Superficie forestière,Hectares,368372000.0
2002,Superficie forestière,Hectares,368333000.0
2003,Superficie forestière,Hectares,368281000.0
2004,Superficie forestière,Hectares,368232000.0
2005,Superficie forestière,Hectares,368184000.0
2006,Superficie forestière,Hectares,368140000.0
2007,Superficie forestière,Hectares,368064000.0
2008,Superficie forestière,Hectares,368017000.0
2009,Superficie forestière,Hectares,367971000.0
2010,Superficie forestière,Hectares,367929000.0
2011,Superficie forestière,Hectares,367889000.0
2012,Superficie forestière,Hectares,367847000.0
2013,Superficie forestière,Hectares,367804000.0
2014,Superficie forestière,Hectares,367751000.0
2015,Superficie forestière,Hectares,367694000.0
2016,Superficie forestière,Hectares,367638000.0
2017,Superficie forestière,Hectares,367582000.0
2018,Superficie forestière,Hectares,367530000.0
2019,Superficie forestière,Hectares,367480000.0
2020,Superficie forestière,Hectares,367429000.0
2021,Superficie forestière,Hectares,367379000.0
2022,Superficie forestière,Hectares,367330000.0
1990,Superficie terrestre,Hectares,896559000.0
1991,Superficie terrestre,Hectares,896559000.0
1992,Superficie terrestre,Hectares,896559000.0
1993,Superficie terrestre,Hectares,896559000.0
1994,Superficie terrestre,Hectares,896559000.0
1995,Superficie terrestre,Hectares,896559000.0
1996,Superficie terrestre,Hectares,896559000.0
1997,Superficie terrestre,Hectares,896559000.0
1998,Superficie terrestre,Hectares,896559000.0
1999,Superficie terrestre,Hectares,896559000.0
2000,Superficie terrestre,Hectares,896559000.0
2001,Superficie terrestre,Hectares,896559000.0
2002,Superficie terrestre,Hectares,896559000.0
2003,Superficie terrestre,Hectares,896559000.0
2004,Superficie terrestre,Hectares,896559000.0
2005,Superficie terrestre,Hectares,896559000.0
2006,Superficie terrestre,Hectares,896559000.0
2007,Superficie terrestre,Hectares,896559000.0
2008,Superficie terrestre,Hectares,896559000.0
2009,Superficie terrestre,Hectares,896559000.0
2010,Superficie terrestre,Hectares,896559000.0
2011,Superficie terrestre,Hectares,896559000.0
2012,Superficie terrestre,Hectares,896559000.0
2013,Superficie terrestre,Hectares,896559000.0
2014,Superficie terrestre,Hectares,896559000.0
2015,Superficie terrestre,Hectares,896559000.0
2016,Superficie terrestre,Hectares,896559000.0
2017,Superficie terrestre,Hectares,896559000.0
2018,Superficie terrestre,Hectares,896559000.0
2019,Superficie terrestre,Hectares,896559000.0
2020,Superficie terrestre,Hectares,896559000.0
2021,Superficie terrestre,Hectares,896559000.0
2022,Superficie terrestre,Hectares,896559000.0
