Year,Géographie,Genre,Identité autochtone,GeoCode,Value
2014,,,,,1.48
2015,,,,,1.71
2016,,,,,1.71
2017,,,,,1.83
2018,,,,,1.78
2019,,,,,1.83
2020,,,,,1.96
2014,Canada,Toutes les identités de genre,Identité autochtone,,7.19
2014,Canada,Toutes les identités de genre,Identité non autochtone,,1.18
2014,Canada,Homme,Total,,2.12
2014,Canada,Homme,Identité autochtone,,10.87
2014,Canada,Homme,Identité non autochtone,,1.65
2014,Canada,Femme,Total,,0.86
2014,Canada,Femme,Identité autochtone,,3.63
2014,Canada,Femme,Identité non autochtone,,0.71
2014,Terre-Neuve-et-Labrador,Toutes les identités de genre,Total,10,0.38
2014,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité autochtone,,0.0
2014,Terre-Neuve-et-Labrador,Toutes les identités de genre,Identité non autochtone,,0.41
2014,Terre-Neuve-et-Labrador,Homme,Total,,0.77
2014,Terre-Neuve-et-Labrador,Homme,Identité autochtone,,0.0
2014,Terre-Neuve-et-Labrador,Homme,Identité non autochtone,,0.83
2014,Terre-Neuve-et-Labrador,Femme,Total,,0.0
2014,Terre-Neuve-et-Labrador,Femme,Identité autochtone,,0.0
2014,Terre-Neuve-et-Labrador,Femme,Identité non autochtone,,0.0
2014,Île-du-Prince-Édouard,Toutes les identités de genre,Total,11,2.06
2014,Île-du-Prince-Édouard,Toutes les identités de genre,Identité autochtone,,0.0
2014,Île-du-Prince-Édouard,Toutes les identités de genre,Identité non autochtone,,2.1
2014,Île-du-Prince-Édouard,Homme,Total,,4.23
2014,Île-du-Prince-Édouard,Homme,Identité autochtone,,0.0
2014,Île-du-Prince-Édouard,Homme,Identité non autochtone,,4.31
2014,Île-du-Prince-Édouard,Femme,Total,,0.0
2014,Île-du-Prince-Édouard,Femme,Identité autochtone,,0.0
2014,Île-du-Prince-Édouard,Femme,Identité non autochtone,,0.0
2014,Nouvelle-Écosse,Toutes les identités de genre,Total,12,0.64
2014,Nouvelle-Écosse,Toutes les identités de genre,Identité autochtone,,2.14
2014,Nouvelle-Écosse,Toutes les identités de genre,Identité non autochtone,,0.45
2014,Nouvelle-Écosse,Homme,Total,,0.87
2014,Nouvelle-Écosse,Homme,Identité autochtone,,0.0
2014,Nouvelle-Écosse,Homme,Identité non autochtone,,0.68
2014,Nouvelle-Écosse,Femme,Total,,0.42
2014,Nouvelle-Écosse,Femme,Identité autochtone,,4.19
2014,Nouvelle-Écosse,Femme,Identité non autochtone,,0.22
2014,Nouveau-Brunswick,Toutes les identités de genre,Total,13,1.32
2014,Nouveau-Brunswick,Toutes les identités de genre,Identité autochtone,,0.0
2014,Nouveau-Brunswick,Toutes les identités de genre,Identité non autochtone,,1.37
2014,Nouveau-Brunswick,Homme,Total,,1.6
2014,Nouveau-Brunswick,Homme,Identité autochtone,,0.0
2014,Nouveau-Brunswick,Homme,Identité non autochtone,,1.66
2014,Nouveau-Brunswick,Femme,Total,,1.04
2014,Nouveau-Brunswick,Femme,Identité autochtone,,0.0
2014,Nouveau-Brunswick,Femme,Identité non autochtone,,1.08
2014,Québec,Toutes les identités de genre,Total,24,0.89
2014,Québec,Toutes les identités de genre,Identité autochtone,,2.15
2014,Québec,Toutes les identités de genre,Identité non autochtone,,0.83
2014,Québec,Homme,Total,,1.19
2014,Québec,Homme,Identité autochtone,,2.12
2014,Québec,Homme,Identité non autochtone,,1.11
2014,Québec,Femme,Total,,0.59
2014,Québec,Femme,Identité autochtone,,2.17
2014,Québec,Femme,Identité non autochtone,,0.55
2014,Ontario,Toutes les identités de genre,Total,35,1.15
2014,Ontario,Toutes les identités de genre,Identité autochtone,,5.57
2014,Ontario,Toutes les identités de genre,Identité non autochtone,,1.0
2014,Ontario,Homme,Total,,1.72
2014,Ontario,Homme,Identité autochtone,,9.8
2014,Ontario,Homme,Identité non autochtone,,1.46
2014,Ontario,Femme,Total,,0.59
2014,Ontario,Femme,Identité autochtone,,1.55
2014,Ontario,Femme,Identité non autochtone,,0.55
2014,Manitoba,Toutes les identités de genre,Total,46,3.51
2014,Manitoba,Toutes les identités de genre,Identité autochtone,,12.88
2014,Manitoba,Toutes les identités de genre,Identité non autochtone,,1.52
2014,Manitoba,Homme,Total,,5.18
2014,Manitoba,Homme,Identité autochtone,,19.87
2014,Manitoba,Homme,Identité non autochtone,,2.09
2014,Manitoba,Femme,Total,,1.87
2014,Manitoba,Femme,Identité autochtone,,6.12
2014,Manitoba,Femme,Identité non autochtone,,0.95
2014,Saskatchewan,Toutes les identités de genre,Total,47,2.17
2014,Saskatchewan,Toutes les identités de genre,Identité autochtone,,6.73
2014,Saskatchewan,Toutes les identités de genre,Identité non autochtone,,1.29
2014,Saskatchewan,Homme,Total,,3.41
2014,Saskatchewan,Homme,Identité autochtone,,12.59
2014,Saskatchewan,Homme,Identité non autochtone,,1.7
2014,Saskatchewan,Femme,Total,,0.91
2014,Saskatchewan,Femme,Identité autochtone,,1.1
2014,Saskatchewan,Femme,Identité non autochtone,,0.87
2014,Alberta,Toutes les identités de genre,Total,48,2.65
2014,Alberta,Toutes les identités de genre,Identité autochtone,,12.23
2014,Alberta,Toutes les identités de genre,Identité non autochtone,,1.99
2014,Alberta,Homme,Total,,3.63
2014,Alberta,Homme,Identité autochtone,,17.08
2014,Alberta,Homme,Identité non autochtone,,2.72
2014,Alberta,Femme,Total,,1.65
2014,Alberta,Femme,Identité autochtone,,7.53
2014,Alberta,Femme,Identité non autochtone,,1.24
2014,Colombie-Britannique,Toutes les identités de genre,Total,59,1.89
2014,Colombie-Britannique,Toutes les identités de genre,Identité autochtone,,5.17
2014,Colombie-Britannique,Toutes les identités de genre,Identité non autochtone,,1.69
2014,Colombie-Britannique,Homme,Total,,2.61
2014,Colombie-Britannique,Homme,Identité autochtone,,8.29
