Year,Géographie,Âge,Genre,GeoCode,Value
2018,Canada,15 à 24 ans,"Total, genre",,3.14
2018,Canada,15 à 24 ans,Genre masculin,,1.33
2018,Canada,15 à 24 ans,Genre féminin,,5.1
2018,Canada,25 à 34 ans,"Total, genre",,5.33
2018,Canada,25 à 34 ans,Genre masculin,,2.2
2018,Canada,25 à 34 ans,Genre féminin,,8.51
2018,Nouvelle-Écosse,25 à 34 ans,"Total, genre",12,7.22
2018,Nouvelle-Écosse,25 à 34 ans,Genre féminin,12,12.24
2018,Québec,25 à 34 ans,"Total, genre",24,4.26
2018,Québec,25 à 34 ans,Genre masculin,24,2.47
2018,Québec,25 à 34 ans,Genre féminin,24,6.07
2018,Ontario,15 à 24 ans,"Total, genre",35,3.54
2018,Ontario,15 à 24 ans,Genre féminin,35,6.27
2018,Ontario,25 à 34 ans,"Total, genre",35,4.45
2018,Ontario,25 à 34 ans,Genre masculin,35,1.38
2018,Ontario,25 à 34 ans,Genre féminin,35,7.5
2018,Manitoba,15 à 24 ans,"Total, genre",46,5.1
2018,Manitoba,25 à 34 ans,"Total, genre",46,6.18
2018,Manitoba,25 à 34 ans,Genre féminin,46,11.4
2018,Saskatchewan,15 à 24 ans,"Total, genre",47,3.36
2018,Saskatchewan,15 à 24 ans,Genre féminin,47,5.76
2018,Saskatchewan,25 à 34 ans,"Total, genre",47,3.88
2018,Saskatchewan,25 à 34 ans,Genre féminin,47,7.27
2018,Alberta,15 à 24 ans,"Total, genre",48,2.76
2018,Alberta,15 à 24 ans,Genre féminin,48,5.68
2018,Alberta,25 à 34 ans,"Total, genre",48,7.04
2018,Alberta,25 à 34 ans,Genre féminin,48,12.66
2018,Colombie-Britannique,15 à 24 ans,"Total, genre",59,2.72
2018,Colombie-Britannique,25 à 34 ans,"Total, genre",59,7.95
2018,Colombie-Britannique,25 à 34 ans,Genre masculin,59,5.67
2018,Colombie-Britannique,25 à 34 ans,Genre féminin,59,10.31
2018,Yukon,25 à 34 ans,"Total, genre",60,11.87
2018,Yukon,25 à 34 ans,Genre féminin,60,13.73
2018,Territoires du Nord-Ouest,25 à 34 ans,"Total, genre",61,10.79
2018,Territoires du Nord-Ouest,25 à 34 ans,Genre féminin,61,14.2
2018,Nunavut,25 à 34 ans,"Total, genre",62,13.24
2018,Nunavut,25 à 34 ans,Genre féminin,62,19.94
