Year,Institutions,Minorité visible,Certaines caractéristiques sociodémographiques,COMMENT_OBS,Value
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,"Total, 15 ans et plus",,55.2
2020,Confiance dans le Parlement fédéral,Population totale,"Total, 15 ans et plus",,44.4
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,15 à 24 ans,,51.5
2020,Confiance dans le Parlement fédéral,Population totale,15 à 24 ans,,42.4
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,25 à 64 ans,,54.5
2020,Confiance dans le Parlement fédéral,Population totale,25 à 64 ans,,43.5
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,65 ans et plus,,59.8
2020,Confiance dans le Parlement fédéral,Population totale,65 ans et plus,,48.5
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Hommes,,56.9
2020,Confiance dans le Parlement fédéral,Population totale,Hommes,,44.0
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Femmes,,53.9
2020,Confiance dans le Parlement fédéral,Population totale,Femmes,,45.2
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Immigrants,,68.6
2020,Confiance dans le Parlement fédéral,Population totale,Immigrants,,59.6
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Non-immigrants,,49.8
2020,Confiance dans le Parlement fédéral,Population totale,Non-immigrants,,38.1
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Première génération,,69.3
2020,Confiance dans le Parlement fédéral,Population totale,Première génération,,60.3
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Deuxième génération,,49.7
2020,Confiance dans le Parlement fédéral,Population totale,Deuxième génération,,39.4
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Troisième génération ou plus,,50.0
2020,Confiance dans le Parlement fédéral,Population totale,Troisième génération ou plus,,37.9
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,"Première langue officielle parlée, anglais seulement",,56.3
2020,Confiance dans le Parlement fédéral,Population totale,"Première langue officielle parlée, anglais seulement",,44.5
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,"Première langue officielle parlée, français seulement",,57.4
2020,Confiance dans le Parlement fédéral,Population totale,"Première langue officielle parlée, français seulement",,48.7
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,50.3
2020,Confiance dans le Parlement fédéral,Population totale,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,40.8
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Diplôme ou certificat postsecondaire (non universitaire),,51.5
2020,Confiance dans le Parlement fédéral,Population totale,Diplôme ou certificat postsecondaire (non universitaire),,39.9
2020,Confiance dans le système de justice et dans les tribunaux,Population totale,Certificat ou diplôme universitaire,,62.6
2020,Confiance dans le Parlement fédéral,Population totale,Certificat ou diplôme universitaire,,51.2
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,"Total, 15 ans et plus",,65.7
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,"Total, 15 ans et plus",,58.7
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,15 à 24 ans,,56.1
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,15 à 24 ans,,44.8
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,25 à 64 ans,,67.7
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,25 à 64 ans,,61.6
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,65 ans et plus,,71.1
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,65 ans et plus,,65.7
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Hommes,,68.7
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Hommes,,61.2
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Femmes,,63.0
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Femmes,,56.5
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Immigrants,,71.2
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Immigrants,,63.0
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Non-immigrants,,42.4
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Non-immigrants,,38.5
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Première génération,,71.7
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Première génération,,63.7
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Deuxième génération,,44.2
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Deuxième génération,,42.6
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Troisième génération ou plus,,
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Troisième génération ou plus,,
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,"Première langue officielle parlée, anglais seulement",,67.2
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,"Première langue officielle parlée, anglais seulement",,59.7
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,"Première langue officielle parlée, français seulement",,68.0
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,"Première langue officielle parlée, français seulement",,64.6
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,60.3
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,54.3
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Diplôme ou certificat postsecondaire (non universitaire),,63.2
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Diplôme ou certificat postsecondaire (non universitaire),,56.5
2020,Confiance dans le système de justice et dans les tribunaux,Total de la population des minorités visibles,Certificat ou diplôme universitaire,,69.8
2020,Confiance dans le Parlement fédéral,Total de la population des minorités visibles,Certificat ou diplôme universitaire,,62.0
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,"Total, 15 ans et plus",,70.2
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,"Total, 15 ans et plus",,65.0
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,15 à 24 ans,À utiliser avec prudence,60.8
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,15 à 24 ans,À utiliser avec prudence,50.3
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,25 à 64 ans,,72.2
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,25 à 64 ans,,68.2
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,65 ans et plus,,71.8
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,65 ans et plus,,67.2
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Hommes,,73.9
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Hommes,,70.4
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Femmes,,66.2
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Femmes,,59.2
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Immigrants,,77.2
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Immigrants,,70.8
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Non-immigrants,À utiliser avec prudence,40.1
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Non-immigrants,À utiliser avec prudence,39.1
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Première génération,,78.0
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Première génération,,71.8
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Deuxième génération,À utiliser avec prudence,40.5
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Deuxième génération,À utiliser avec prudence,42.0
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Troisième génération ou plus,,
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Troisième génération ou plus,,
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,"Première langue officielle parlée, anglais seulement",,72.8
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,"Première langue officielle parlée, anglais seulement",,67.7
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,"Première langue officielle parlée, français seulement",,
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,"Première langue officielle parlée, français seulement",,
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,59.5
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Diplôme d'études secondaires ou attestation d'équivalence ou moins,,54.6
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Diplôme ou certificat postsecondaire (non universitaire),À utiliser avec prudence,74.2
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Diplôme ou certificat postsecondaire (non universitaire),À utiliser avec prudence,73.3
2020,Confiance dans le système de justice et dans les tribunaux,Sud-Asiatique,Certificat ou diplôme universitaire,,74.7
2020,Confiance dans le Parlement fédéral,Sud-Asiatique,Certificat ou diplôme universitaire,,68.4
2020,Confiance dans le système de justice et dans les tribunaux,Chinois,"Total, 15 ans et plus",,64.0
2020,Confiance dans le Parlement fédéral,Chinois,"Total, 15 ans et plus",,50.8
2020,Confiance dans le système de justice et dans les tribunaux,Chinois,15 à 24 ans,À utiliser avec prudence,69.9
2020,Confiance dans le Parlement fédéral,Chinois,15 à 24 ans,À utiliser avec prudence,48.3
2020,Confiance dans le système de justice et dans les tribunaux,Chinois,25 à 64 ans,,62.8
2020,Confiance dans le Parlement fédéral,Chinois,25 à 64 ans,,51.0
2020,Confiance dans le système de justice et dans les tribunaux,Chinois,65 ans et plus,,60.0
2020,Confiance dans le Parlement fédéral,Chinois,65 ans et plus,,54.5
2020,Confiance dans le système de justice et dans les tribunaux,Chinois,Hommes,,66.8
