Year,Units,Value
2015,"Dollar américain, millions, prix constants de 2024",7.611514
2016,"Dollar américain, millions, prix constants de 2024",4.983644
2017,"Dollar américain, millions, prix constants de 2024",6.897621
2018,"Dollar américain, millions, prix constants de 2024",9.38466
2019,"Dollar américain, millions, prix constants de 2024",6.564332
2020,"Dollar américain, millions, prix constants de 2024",3.075683
2021,"Dollar américain, millions, prix constants de 2024",5.475397
2022,"Dollar américain, millions, prix constants de 2024",2.875986
2023,"Dollar américain, millions, prix constants de 2024",3.225222
2024,"Dollar américain, millions, prix constants de 2024",4.724331
