Year,Taille,Caractéristiques,Value
2001,Petits producteurs alimentaires,Total,-4061
2006,Petits producteurs alimentaires,Total,-4102
2011,Petits producteurs alimentaires,Total,-3879
2016,Petits producteurs alimentaires,Total,-2312
2021,Petits producteurs alimentaires,Total,-4413
2001,Petits producteurs alimentaires,Homme,-4121
2006,Petits producteurs alimentaires,Homme,-4205
2011,Petits producteurs alimentaires,Homme,-3985
2016,Petits producteurs alimentaires,Homme,-2201
2021,Petits producteurs alimentaires,Homme,-4632
2001,Petits producteurs alimentaires,Femme,-3915
2006,Petits producteurs alimentaires,Femme,-3869
2011,Petits producteurs alimentaires,Femme,-3644
2016,Petits producteurs alimentaires,Femme,-2534
2021,Petits producteurs alimentaires,Femme,-4004
2001,Petits producteurs alimentaires,Moins de 35 ans,-4628
2006,Petits producteurs alimentaires,Moins de 35 ans,-4417
2011,Petits producteurs alimentaires,Moins de 35 ans,-4093
2016,Petits producteurs alimentaires,Moins de 35 ans,-2413
2021,Petits producteurs alimentaires,Moins de 35 ans,-4728
2001,Petits producteurs alimentaires,35 à 54 ans,-4599
2006,Petits producteurs alimentaires,35 à 54 ans,-4601
2011,Petits producteurs alimentaires,35 à 54 ans,-4631
2016,Petits producteurs alimentaires,35 à 54 ans,-2564
2021,Petits producteurs alimentaires,35 à 54 ans,-5405
2001,Petits producteurs alimentaires,55 ans et plus,-3280
2006,Petits producteurs alimentaires,55 ans et plus,-3568
2011,Petits producteurs alimentaires,55 ans et plus,-3337
2016,Petits producteurs alimentaires,55 ans et plus,-2161
2021,Petits producteurs alimentaires,55 ans et plus,-3972
2001,Producteurs alimentaires de moyenne à grande échelle,Total,28388
2006,Producteurs alimentaires de moyenne à grande échelle,Total,32863
2011,Producteurs alimentaires de moyenne à grande échelle,Total,54147
2016,Producteurs alimentaires de moyenne à grande échelle,Total,73305
2021,Producteurs alimentaires de moyenne à grande échelle,Total,93175
2001,Producteurs alimentaires de moyenne à grande échelle,Homme,31346
2006,Producteurs alimentaires de moyenne à grande échelle,Homme,36072
2011,Producteurs alimentaires de moyenne à grande échelle,Homme,60539
2016,Producteurs alimentaires de moyenne à grande échelle,Homme,82047
2021,Producteurs alimentaires de moyenne à grande échelle,Homme,105401
2001,Producteurs alimentaires de moyenne à grande échelle,Femme,19168
2006,Producteurs alimentaires de moyenne à grande échelle,Femme,23567
2011,Producteurs alimentaires de moyenne à grande échelle,Femme,34925
2016,Producteurs alimentaires de moyenne à grande échelle,Femme,48390
2021,Producteurs alimentaires de moyenne à grande échelle,Femme,61546
2001,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,23688
2006,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,30117
2011,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,51790
2016,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,65524
2021,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,75666
2001,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,31855
2006,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,37185
2011,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,60905
2016,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,81289
2021,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,110210
2001,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,23827
2006,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,27215
2011,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,47298
2016,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,68818
2021,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,86102
2001,,,14701
2006,,,17400
2011,,,30296
2016,,,45467
2021,,,57919
2001,Total,Homme,16956
2006,Total,Homme,19909
2011,Total,Homme,35320
2016,Total,Homme,53046
2021,Total,Homme,68205
2001,Total,Femme,8393
2006,Total,Femme,10877
2011,Total,Femme,17012
2016,Total,Femme,26615
2021,Total,Femme,34372
2001,Total,Moins de 35 ans,13205
2006,Total,Moins de 35 ans,17851
2011,Total,Moins de 35 ans,34081
2016,Total,Moins de 35 ans,44103
2021,Total,Moins de 35 ans,52791
2001,Total,35 à 54 ans,17825
2006,Total,35 à 54 ans,21404
2011,Total,35 à 54 ans,37230
2016,Total,35 à 54 ans,53693
2021,Total,35 à 54 ans,74781
2001,Total,55 ans et plus,10392
2006,Total,55 ans et plus,12356
2011,Total,55 ans et plus,23404
2016,Total,55 ans et plus,40212
2021,Total,55 ans et plus,50044
