Year,Units,Mesure,Value
2015,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,199.046268
2016,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,211.318555
2017,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,174.429486
2018,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,228.102558
2019,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,161.990088
2020,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,229.192371
2021,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,255.125883
2022,"Dollars des É-U, millions, prix constants 2022",Aide publique au développement,250.738352
2020,"Dollars des É-U, millions, prix constants 2022",Autres apports du secteur public (autre que crédits à l'exportation),23.868986
2022,"Dollars des É-U, millions, prix constants 2022",Autres apports du secteur public (autre que crédits à l'exportation),2.706805
2015,"Dollars des É-U, millions, prix constants 2022",,199.046268
2016,"Dollars des É-U, millions, prix constants 2022",,211.318555
2017,"Dollars des É-U, millions, prix constants 2022",,174.429486
2018,"Dollars des É-U, millions, prix constants 2022",,228.102558
2019,"Dollars des É-U, millions, prix constants 2022",,161.990088
2020,"Dollars des É-U, millions, prix constants 2022",,253.061357
2021,"Dollars des É-U, millions, prix constants 2022",,255.125883
2022,"Dollars des É-U, millions, prix constants 2022",,253.445157
