Year,Sexe,Value
1995,,9.96
1996,,9.16
1997,,8.06
1998,,7.3
1999,,6.89
2000,,6.4
2001,,6.75
2002,,7.37
2003,,7.34
2004,,7.29
2005,,7.13
2006,,7.19
2007,,6.88
2008,,7.39
2009,,6.57
2010,,6.32
2011,,6.18
2012,,5.53
2013,,5.5
2014,,5.41
2015,,5.44
2016,,5.98
2017,,5.88
2018,,6.19
2019,,5.64
1995,Homme,15.89
1996,Homme,14.19
1997,Homme,12.54
1998,Homme,11.19
1999,Homme,10.39
2000,Homme,9.71
2001,Homme,10.02
2002,Homme,11.03
2003,Homme,10.98
2004,Homme,10.78
2005,Homme,10.68
2006,Homme,10.52
2007,Homme,10.34
2008,Homme,11.08
2009,Homme,9.83
2010,Homme,9.69
2011,Homme,9.47
2012,Homme,8.56
2013,Homme,8.61
2014,Homme,8.24
2015,Homme,8.3
2016,Homme,9.17
2017,Homme,9.01
2018,Homme,8.94
2019,Homme,7.91
1995,Femme,3.61
1996,Femme,3.74
1997,Femme,3.21
1998,Femme,3.14
1999,Femme,3.3
2000,Femme,3.02
2001,Femme,3.4
2002,Femme,3.68
2003,Femme,3.66
2004,Femme,3.82
2005,Femme,3.57
2006,Femme,3.87
2007,Femme,3.41
2008,Femme,3.71
2009,Femme,3.32
2010,Femme,2.93
2011,Femme,2.85
2012,Femme,2.51
2013,Femme,2.37
2014,Femme,2.57
2015,Femme,2.6
2016,Femme,2.79
2017,Femme,2.77
2018,Femme,3.46
2019,Femme,3.38
