Year,Géographie,GeoCode,Sexe,Value
2015,Alberta,48,Les deux sexes,15.8
2015,Alberta,48,Hommes,22.9
2015,Alberta,48,Femmes,8.4
2016,Alberta,48,Les deux sexes,13.9
2016,Alberta,48,Hommes,20.3
2016,Alberta,48,Femmes,7.4
2017,Alberta,48,Les deux sexes,15.2
2017,Alberta,48,Hommes,23.6
2017,Alberta,48,Femmes,6.6
2018,Alberta,48,Les deux sexes,14.4
2018,Alberta,48,Hommes,21.3
2018,Alberta,48,Femmes,7.5
2019,Alberta,48,Les deux sexes,13.7
2019,Alberta,48,Hommes,20.7
2019,Alberta,48,Femmes,6.6
2020,Alberta,48,Les deux sexes,13.3
2020,Alberta,48,Hommes,20.2
2020,Alberta,48,Femmes,6.4
2015,Colombie-Britannique,59,Les deux sexes,11.6
2015,Colombie-Britannique,59,Hommes,18.1
2015,Colombie-Britannique,59,Femmes,5.2
2016,Colombie-Britannique,59,Les deux sexes,10.1
2016,Colombie-Britannique,59,Hommes,15.2
2016,Colombie-Britannique,59,Femmes,5.1
2017,Colombie-Britannique,59,Les deux sexes,10.4
2017,Colombie-Britannique,59,Hommes,15.9
2017,Colombie-Britannique,59,Femmes,5.0
2018,Colombie-Britannique,59,Les deux sexes,10.4
2018,Colombie-Britannique,59,Hommes,15.5
2018,Colombie-Britannique,59,Femmes,5.5
2019,Colombie-Britannique,59,Les deux sexes,10.8
2019,Colombie-Britannique,59,Hommes,16.4
2019,Colombie-Britannique,59,Femmes,5.2
2020,Colombie-Britannique,59,Les deux sexes,7.0
2020,Colombie-Britannique,59,Hommes,10.3
2020,Colombie-Britannique,59,Femmes,3.8
2015,Canada,,Hommes,18.4
2015,Canada,,Femmes,6.3
2016,Canada,,Hommes,16.3
2016,Canada,,Femmes,5.7
2017,Canada,,Hommes,18.4
2017,Canada,,Femmes,6.2
2018,Canada,,Hommes,18.7
2018,Canada,,Femmes,6.0
2019,Canada,,Hommes,18.4
2019,Canada,,Femmes,5.8
2020,Canada,,Hommes,15.2
2020,Canada,,Femmes,5.0
2015,Manitoba,46,Les deux sexes,13.8
2015,Manitoba,46,Hommes,18.5
2015,Manitoba,46,Femmes,9.2
2016,Manitoba,46,Les deux sexes,15.2
2016,Manitoba,46,Hommes,21.5
2016,Manitoba,46,Femmes,8.9
2017,Manitoba,46,Les deux sexes,15.5
2017,Manitoba,46,Hommes,20.6
2017,Manitoba,46,Femmes,10.5
2018,Manitoba,46,Les deux sexes,14.2
2018,Manitoba,46,Hommes,20.7
2018,Manitoba,46,Femmes,7.7
2019,Manitoba,46,Les deux sexes,15.7
2019,Manitoba,46,Hommes,23.1
2019,Manitoba,46,Femmes,8.3
2020,Manitoba,46,Les deux sexes,12.9
2020,Manitoba,46,Hommes,18.7
2020,Manitoba,46,Femmes,7.1
2015,Nouveau-Brunswick,13,Les deux sexes,16.7
2015,Nouveau-Brunswick,13,Hommes,26.6
2015,Nouveau-Brunswick,13,Femmes,7.1
2016,Nouveau-Brunswick,13,Les deux sexes,15.8
2016,Nouveau-Brunswick,13,Hommes,25.4
2016,Nouveau-Brunswick,13,Femmes,6.5
2017,Nouveau-Brunswick,13,Les deux sexes,13.0
2017,Nouveau-Brunswick,13,Hommes,21.4
2017,Nouveau-Brunswick,13,Femmes,4.9
2018,Nouveau-Brunswick,13,Les deux sexes,14.8
2018,Nouveau-Brunswick,13,Hommes,24.4
2018,Nouveau-Brunswick,13,Femmes,5.4
2019,Nouveau-Brunswick,13,Les deux sexes,10.2
2019,Nouveau-Brunswick,13,Hommes,15.1
2019,Nouveau-Brunswick,13,Femmes,5.3
2020,Nouveau-Brunswick,13,Les deux sexes,11.7
2020,Nouveau-Brunswick,13,Hommes,19.9
2020,Nouveau-Brunswick,13,Femmes,3.8
2015,Terre-Neuve-et-Labrador,10,Les deux sexes,11.9
2015,Terre-Neuve-et-Labrador,10,Hommes,19.2
2015,Terre-Neuve-et-Labrador,10,Femmes,4.8
2016,Terre-Neuve-et-Labrador,10,Les deux sexes,13.8
2016,Terre-Neuve-et-Labrador,10,Hommes,21.0
2016,Terre-Neuve-et-Labrador,10,Femmes,6.7
2017,Terre-Neuve-et-Labrador,10,Les deux sexes,17.4
2017,Terre-Neuve-et-Labrador,10,Hommes,26.7
2017,Terre-Neuve-et-Labrador,10,Femmes,8.3
2018,Terre-Neuve-et-Labrador,10,Les deux sexes,13.7
2018,Terre-Neuve-et-Labrador,10,Hommes,23.1
2018,Terre-Neuve-et-Labrador,10,Femmes,4.5
2019,Terre-Neuve-et-Labrador,10,Les deux sexes,11.5
2019,Terre-Neuve-et-Labrador,10,Hommes,17.0
2019,Terre-Neuve-et-Labrador,10,Femmes,6.0
2020,Terre-Neuve-et-Labrador,10,Les deux sexes,11.1
2020,Terre-Neuve-et-Labrador,10,Hommes,17.9
2020,Terre-Neuve-et-Labrador,10,Femmes,4.6
2015,Territoires du Nord-Ouest,61,Les deux sexes,20.4
2015,Territoires du Nord-Ouest,61,Hommes,39.9
2015,Territoires du Nord-Ouest,61,Femmes,0.0
2016,Territoires du Nord-Ouest,61,Les deux sexes,26.9
2016,Territoires du Nord-Ouest,61,Hommes,35.0
2016,Territoires du Nord-Ouest,61,Femmes,18.4
2017,Territoires du Nord-Ouest,61,Les deux sexes,15.6
2017,Territoires du Nord-Ouest,61,Hommes,30.3
2017,Territoires du Nord-Ouest,61,Femmes,0.0
2018,Territoires du Nord-Ouest,61,Les deux sexes,26.7
