Year,Géographie,Âge,Value
2015,,,9.4
2016,,,8.4
2017,,,7.8
2018,,,6.7
2019,,,6.2
2020,,,5.5
2015,Canada,Females 15 to 19 years,9.4
2015,Terre-Neuve-et-Labrador,Females 15 to 19 years,11.2
2015,Île-du-Prince-Édouard,Females 15 to 19 years,10.2
2015,Nouvelle-Écosse,Females 15 to 19 years,12.9
2015,Nouveau-Brunswick,Females 15 to 19 years,15.2
2015,Québec,Females 15 to 19 years,7.2
2015,Ontario,Females 15 to 19 years,7.1
2015,Manitoba,Females 15 to 19 years,22.0
2015,Saskatchewan,Females 15 to 19 years,25.1
2015,Alberta,Females 15 to 19 years,12.8
2015,Colombie-Britannique,Females 15 to 19 years,6.2
2015,Yukon,Females 15 to 19 years,10.0
2015,Territoires du Nord-Ouest,Females 15 to 19 years,32.1
2015,Nunavut,Females 15 to 19 years,107.0
2016,Canada,Females 15 to 19 years,8.4
2016,Terre-Neuve-et-Labrador,Females 15 to 19 years,12.5
2016,Île-du-Prince-Édouard,Females 15 to 19 years,8.0
2016,Nouvelle-Écosse,Females 15 to 19 years,11.4
2016,Nouveau-Brunswick,Females 15 to 19 years,12.1
2016,Québec,Females 15 to 19 years,6.6
2016,Ontario,Females 15 to 19 years,6.1
2016,Manitoba,Females 15 to 19 years,20.6
2016,Saskatchewan,Females 15 to 19 years,23.6
2016,Alberta,Females 15 to 19 years,11.0
2016,Colombie-Britannique,Females 15 to 19 years,5.3
2016,Yukon,Females 15 to 19 years,7.0
2016,Territoires du Nord-Ouest,Females 15 to 19 years,24.6
2016,Nunavut,Females 15 to 19 years,104.0
2017,Canada,Females 15 to 19 years,7.8
2017,Terre-Neuve-et-Labrador,Females 15 to 19 years,11.0
2017,Île-du-Prince-Édouard,Females 15 to 19 years,8.9
2017,Nouvelle-Écosse,Females 15 to 19 years,11.3
2017,Nouveau-Brunswick,Females 15 to 19 years,12.5
2017,Québec,Females 15 to 19 years,6.2
2017,Ontario,Females 15 to 19 years,5.8
2017,Manitoba,Females 15 to 19 years,18.6
2017,Saskatchewan,Females 15 to 19 years,20.8
2017,Alberta,Females 15 to 19 years,9.9
2017,Colombie-Britannique,Females 15 to 19 years,4.7
2017,Territoires du Nord-Ouest,Females 15 to 19 years,32.6
2017,Nunavut,Females 15 to 19 years,97.8
2018,Canada,Females 15 to 19 years,6.7
2018,Terre-Neuve-et-Labrador,Females 15 to 19 years,10.0
2018,Île-du-Prince-Édouard,Females 15 to 19 years,6.8
2018,Nouvelle-Écosse,Females 15 to 19 years,8.4
2018,Nouveau-Brunswick,Females 15 to 19 years,10.7
2018,Québec,Females 15 to 19 years,5.6
2018,Ontario,Females 15 to 19 years,4.7
2018,Manitoba,Females 15 to 19 years,17.6
2018,Saskatchewan,Females 15 to 19 years,19.9
2018,Alberta,Females 15 to 19 years,8.2
2018,Colombie-Britannique,Females 15 to 19 years,3.7
2018,Territoires du Nord-Ouest,Females 15 to 19 years,28.3
2018,Nunavut,Females 15 to 19 years,99.9
2019,Canada,Females 15 to 19 years,6.2
2019,Terre-Neuve-et-Labrador,Females 15 to 19 years,8.6
2019,Île-du-Prince-Édouard,Females 15 to 19 years,6.2
2019,Nouvelle-Écosse,Females 15 to 19 years,9.3
2019,Nouveau-Brunswick,Females 15 to 19 years,10.0
2019,Québec,Females 15 to 19 years,5.5
2019,Ontario,Females 15 to 19 years,4.4
2019,Manitoba,Females 15 to 19 years,16.0
2019,Saskatchewan,Females 15 to 19 years,18.3
2019,Alberta,Females 15 to 19 years,6.9
2019,Colombie-Britannique,Females 15 to 19 years,3.7
2019,Territoires du Nord-Ouest,Females 15 to 19 years,23.7
2019,Nunavut,Females 15 to 19 years,92.5
2020,Canada,Females 15 to 19 years,5.5
2020,Terre-Neuve-et-Labrador,Females 15 to 19 years,6.4
2020,Île-du-Prince-Édouard,Females 15 to 19 years,5.9
2020,Nouvelle-Écosse,Females 15 to 19 years,7.4
2020,Nouveau-Brunswick,Females 15 to 19 years,8.6
2020,Québec,Females 15 to 19 years,5.2
2020,Ontario,Females 15 to 19 years,3.8
2020,Manitoba,Females 15 to 19 years,12.1
2020,Saskatchewan,Females 15 to 19 years,16.7
2020,Alberta,Females 15 to 19 years,6.6
2020,Colombie-Britannique,Females 15 to 19 years,3.5
2020,Territoires du Nord-Ouest,Females 15 to 19 years,17.9
2020,Nunavut,Females 15 to 19 years,86.0
