Year,Units,Type d'aide,Value
2015,"Dollar américain, millions, prix constants de 2024",,386.431757
2016,"Dollar américain, millions, prix constants de 2024",,416.757763
2017,"Dollar américain, millions, prix constants de 2024",,393.230847
2018,"Dollar américain, millions, prix constants de 2024",,354.901968
2019,"Dollar américain, millions, prix constants de 2024",,272.054498
2020,"Dollar américain, millions, prix constants de 2024",,356.431981
2021,"Dollar américain, millions, prix constants de 2024",,1227.097877
2022,"Dollar américain, millions, prix constants de 2024",,939.904629
2023,"Dollar américain, millions, prix constants de 2024",,443.043613
2024,"Dollar américain, millions, prix constants de 2024",,223.085969
2015,"Dollar américain, millions, prix constants de 2024",Santé de base,347.06417
2015,"Dollar américain, millions, prix constants de 2024",Recherche médicale,39.367587
2016,"Dollar américain, millions, prix constants de 2024",Santé de base,385.902534
2016,"Dollar américain, millions, prix constants de 2024",Recherche médicale,30.855229
2017,"Dollar américain, millions, prix constants de 2024",Santé de base,386.322017
2017,"Dollar américain, millions, prix constants de 2024",Recherche médicale,6.90883
2018,"Dollar américain, millions, prix constants de 2024",Santé de base,345.524177
2018,"Dollar américain, millions, prix constants de 2024",Recherche médicale,9.377791
2019,"Dollar américain, millions, prix constants de 2024",Santé de base,264.294956
2019,"Dollar américain, millions, prix constants de 2024",Recherche médicale,7.759542
2020,"Dollar américain, millions, prix constants de 2024",Santé de base,348.98404
2020,"Dollar américain, millions, prix constants de 2024",Recherche médicale,7.447941
2021,"Dollar américain, millions, prix constants de 2024",Santé de base,1221.834893
2021,"Dollar américain, millions, prix constants de 2024",Recherche médicale,5.262984
2022,"Dollar américain, millions, prix constants de 2024",Santé de base,935.95281
2022,"Dollar américain, millions, prix constants de 2024",Recherche médicale,3.951819
2023,"Dollar américain, millions, prix constants de 2024",Santé de base,439.032008
2023,"Dollar américain, millions, prix constants de 2024",Recherche médicale,4.011605
2024,"Dollar américain, millions, prix constants de 2024",Santé de base,220.633591
2024,"Dollar américain, millions, prix constants de 2024",Recherche médicale,2.452378
