Year,Series,Units,Sexe,Value
2015,Enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,92.0
2019,Enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,92.0
2019,Enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Homme,94.0
2019,Enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Femme,91.0
2016,Enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Total,95.6
2016,Enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Homme,95.3
2016,Enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Femme,96.3
2018,Enfants et jeunes en fin de premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Total,86.3
2018,Enfants et jeunes en fin de premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Femme,90.4
2018,Enfants et jeunes en fin de premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Homme,82.1
2018,Enfants et jeunes en fin de premier cycle du secondaire atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Total,83.7
2018,Enfants et jeunes en fin de premier cycle du secondaire atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Femme,83.9
2018,Enfants et jeunes en fin de premier cycle du secondaire atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Homme,83.6
