Year,Géographie,Taux d'obtention du diplôme,Genre,GeoCode,Value
2016/2017,,,,,87.0
2017/2018,,,,,88.0
2018/2019,,,,,89.0
2019/2020,,,,,89.0
2020/2021,,,,,89.0
2016/2017,Canada,Délai prévu,Total,,80.0
2016/2017,Canada,Délai prévu,Homme,,76.0
2016/2017,Canada,Délai prévu,Femme,,84.0
2016/2017,Canada,Délai plus long,Homme,,85.0
2016/2017,Canada,Délai plus long,Femme,,91.0
2016/2017,Terre-Neuve-et-Labrador,Délai prévu,Total,10,88.0
2016/2017,Terre-Neuve-et-Labrador,Délai prévu,Homme,10,87.0
2016/2017,Terre-Neuve-et-Labrador,Délai prévu,Femme,10,90.0
2016/2017,Terre-Neuve-et-Labrador,Délai plus long,Total,10,90.0
2016/2017,Terre-Neuve-et-Labrador,Délai plus long,Homme,10,88.0
2016/2017,Terre-Neuve-et-Labrador,Délai plus long,Femme,10,91.0
2016/2017,Île-du-Prince-Édouard,Délai prévu,Total,11,85.0
2016/2017,Île-du-Prince-Édouard,Délai prévu,Homme,11,84.0
2016/2017,Île-du-Prince-Édouard,Délai prévu,Femme,11,86.0
2016/2017,Île-du-Prince-Édouard,Délai plus long,Total,11,90.0
2016/2017,Île-du-Prince-Édouard,Délai plus long,Homme,11,89.0
2016/2017,Île-du-Prince-Édouard,Délai plus long,Femme,11,90.0
2016/2017,Nouvelle-Écosse,Délai prévu,Total,12,
2016/2017,Nouvelle-Écosse,Délai prévu,Homme,12,
2016/2017,Nouvelle-Écosse,Délai prévu,Femme,12,
2016/2017,Nouvelle-Écosse,Délai plus long,Total,12,
2016/2017,Nouvelle-Écosse,Délai plus long,Homme,12,
2016/2017,Nouvelle-Écosse,Délai plus long,Femme,12,
2016/2017,Nouveau-Brunswick,Délai prévu,Total,13,85.0
2016/2017,Nouveau-Brunswick,Délai prévu,Homme,13,82.0
2016/2017,Nouveau-Brunswick,Délai prévu,Femme,13,88.0
2016/2017,Nouveau-Brunswick,Délai plus long,Total,13,85.0
2016/2017,Nouveau-Brunswick,Délai plus long,Homme,13,82.0
2016/2017,Nouveau-Brunswick,Délai plus long,Femme,13,88.0
2016/2017,Québec,Délai prévu,Total,24,74.0
2016/2017,Québec,Délai prévu,Homme,24,69.0
2016/2017,Québec,Délai prévu,Femme,24,80.0
2016/2017,Québec,Délai plus long,Total,24,82.0
2016/2017,Québec,Délai plus long,Homme,24,78.0
2016/2017,Québec,Délai plus long,Femme,24,89.0
2016/2017,Ontario,Délai prévu,Total,35,82.0
2016/2017,Ontario,Délai prévu,Homme,35,79.0
2016/2017,Ontario,Délai prévu,Femme,35,86.0
2016/2017,Ontario,Délai plus long,Total,35,92.0
2016/2017,Ontario,Délai plus long,Homme,35,89.0
2016/2017,Ontario,Délai plus long,Femme,35,94.0
2016/2017,Manitoba,Délai prévu,Total,46,82.0
2016/2017,Manitoba,Délai prévu,Homme,46,79.0
2016/2017,Manitoba,Délai prévu,Femme,46,85.0
2016/2017,Manitoba,Délai plus long,Total,46,87.0
2016/2017,Manitoba,Délai plus long,Homme,46,85.0
2016/2017,Manitoba,Délai plus long,Femme,46,89.0
2016/2017,Saskatchewan,Délai prévu,Total,47,78.0
2016/2017,Saskatchewan,Délai prévu,Homme,47,76.0
2016/2017,Saskatchewan,Délai prévu,Femme,47,81.0
2016/2017,Saskatchewan,Délai plus long,Total,47,85.0
2016/2017,Saskatchewan,Délai plus long,Homme,47,82.0
2016/2017,Saskatchewan,Délai plus long,Femme,47,88.0
2016/2017,Alberta,Délai prévu,Total,48,78.0
2016/2017,Alberta,Délai prévu,Homme,48,76.0
2016/2017,Alberta,Délai prévu,Femme,48,81.0
2016/2017,Alberta,Délai plus long,Total,48,84.0
2016/2017,Alberta,Délai plus long,Homme,48,82.0
2016/2017,Alberta,Délai plus long,Femme,48,86.0
2016/2017,Colombie-Britannique,Délai prévu,Total,59,81.0
2016/2017,Colombie-Britannique,Délai prévu,Homme,59,79.0
2016/2017,Colombie-Britannique,Délai prévu,Femme,59,83.0
2016/2017,Colombie-Britannique,Délai plus long,Total,59,88.0
2016/2017,Colombie-Britannique,Délai plus long,Homme,59,86.0
2016/2017,Colombie-Britannique,Délai plus long,Femme,59,90.0
2016/2017,Territoires du Nord-Ouest,Délai prévu,Total,61,54.0
2016/2017,Territoires du Nord-Ouest,Délai prévu,Homme,61,52.0
2016/2017,Territoires du Nord-Ouest,Délai prévu,Femme,61,54.0
