Year,Géographie,Government,Elected officials,Value
2015,Canada,National,Members of Parliament,25.3
2016,Canada,National,Members of Parliament,26.1
2017,Canada,National,Members of Parliament,27.2
2018,Canada,National,Members of Parliament,27.0
2019,Canada,National,Members of Parliament,27.2
2020,Canada,National,Members of Parliament,29.0
2021,Canada,National,Members of Parliament,29.4
2015,Canada,National,Members of Cabinet,30.8
2016,Canada,National,Members of Cabinet,50.0
2017,Canada,National,Members of Cabinet,50.0
2018,Canada,National,Members of Cabinet,50.0
2019,Canada,National,Members of Cabinet,48.6
2020,Canada,National,Members of Cabinet,48.6
2021,Canada,National,Members of Cabinet,48.6
2015,Terre-Neuve-et-Labrador,National,Members of Parliament,28.6
2016,Terre-Neuve-et-Labrador,National,Members of Parliament,42.9
2017,Terre-Neuve-et-Labrador,National,Members of Parliament,42.9
2018,Terre-Neuve-et-Labrador,National,Members of Parliament,28.6
2019,Terre-Neuve-et-Labrador,National,Members of Parliament,28.6
2020,Terre-Neuve-et-Labrador,National,Members of Parliament,28.6
2021,Terre-Neuve-et-Labrador,National,Members of Parliament,28.6
2015,Terre-Neuve-et-Labrador,National,Members of Cabinet,0.0
2016,Terre-Neuve-et-Labrador,National,Members of Cabinet,100.0
2017,Terre-Neuve-et-Labrador,National,Members of Cabinet,100.0
2018,Terre-Neuve-et-Labrador,National,Members of Cabinet,0.0
2019,Terre-Neuve-et-Labrador,National,Members of Cabinet,0.0
2020,Terre-Neuve-et-Labrador,National,Members of Cabinet,0.0
2021,Terre-Neuve-et-Labrador,National,Members of Cabinet,0.0
2015,Île-du-Prince-Édouard,National,Members of Parliament,25.0
2016,Île-du-Prince-Édouard,National,Members of Parliament,0.0
2017,Île-du-Prince-Édouard,National,Members of Parliament,0.0
2018,Île-du-Prince-Édouard,National,Members of Parliament,0.0
2019,Île-du-Prince-Édouard,National,Members of Parliament,0.0
2020,Île-du-Prince-Édouard,National,Members of Parliament,0.0
2021,Île-du-Prince-Édouard,National,Members of Parliament,0.0
2015,Île-du-Prince-Édouard,National,Members of Cabinet,100.0
2016,Île-du-Prince-Édouard,National,Members of Cabinet,0.0
2017,Île-du-Prince-Édouard,National,Members of Cabinet,0.0
2018,Île-du-Prince-Édouard,National,Members of Cabinet,0.0
2019,Île-du-Prince-Édouard,National,Members of Cabinet,0.0
2020,Île-du-Prince-Édouard,National,Members of Cabinet,0.0
2021,Île-du-Prince-Édouard,National,Members of Cabinet,0.0
2015,Nouvelle-Écosse,National,Members of Parliament,9.1
2016,Nouvelle-Écosse,National,Members of Parliament,9.1
2017,Nouvelle-Écosse,National,Members of Parliament,9.1
2018,Nouvelle-Écosse,National,Members of Parliament,9.1
2019,Nouvelle-Écosse,National,Members of Parliament,10.0
2020,Nouvelle-Écosse,National,Members of Parliament,18.2
2021,Nouvelle-Écosse,National,Members of Parliament,18.2
2015,Nouvelle-Écosse,National,Members of Cabinet,0.0
2016,Nouvelle-Écosse,National,Members of Cabinet,0.0
2017,Nouvelle-Écosse,National,Members of Cabinet,0.0
2018,Nouvelle-Écosse,National,Members of Cabinet,0.0
2019,Nouvelle-Écosse,National,Members of Cabinet,100.0
2020,Nouvelle-Écosse,National,Members of Cabinet,100.0
2021,Nouvelle-Écosse,National,Members of Cabinet,100.0
2015,Nouveau-Brunswick,National,Members of Parliament,10.0
2016,Nouveau-Brunswick,National,Members of Parliament,30.0
2017,Nouveau-Brunswick,National,Members of Parliament,30.0
2018,Nouveau-Brunswick,National,Members of Parliament,30.0
2019,Nouveau-Brunswick,National,Members of Parliament,30.0
2020,Nouveau-Brunswick,National,Members of Parliament,20.0
2021,Nouveau-Brunswick,National,Members of Parliament,20.0
2015,Nouveau-Brunswick,National,Members of Cabinet,0.0
2016,Nouveau-Brunswick,National,Members of Cabinet,0.0
2017,Nouveau-Brunswick,National,Members of Cabinet,0.0
2018,Nouveau-Brunswick,National,Members of Cabinet,50.0
2019,Nouveau-Brunswick,National,Members of Cabinet,50.0
2020,Nouveau-Brunswick,National,Members of Cabinet,0.0
