Year,Géographie,Type de logement,"Type d'énergie
",GeoCode,Value
2015,,,,,92.5
2019,,,,,90.5
2015,Canada,Maison individuelle,"Total, tous les types d'énergie	
",,112.2
2015,Canada,Maison individuelle,Électricité,,47.8
2015,Canada,Maison individuelle,Gaz naturel,,93.8
2015,Canada,Maison individuelle,Mazout,,67.6
2015,Canada,Maison double,"Total, tous les types d'énergie	
",,96.7
2015,Canada,Maison double,Électricité,,48.0
2015,Canada,Maison double,Gaz naturel,,85.1
2015,Canada,Maison double,Mazout,,
2015,Canada,Maison en rangée,"Total, tous les types d'énergie	
",,80.8
2015,Canada,Maison en rangée,Électricité,,33.0
2015,Canada,Maison en rangée,Gaz naturel,,67.3
2015,Canada,Maison en rangée,Mazout,,
2015,Canada,Duplex,"Total, tous les types d'énergie	
",,86.5
2015,Canada,Duplex,Électricité,,43.4
2015,Canada,Duplex,Gaz naturel,,73.3
2015,Canada,Duplex,Mazout,,58.0
2015,Canada,"Immeuble d'appartements (moins de 5 étages)
","Total, tous les types d'énergie	
",,47.1
2015,Canada,"Immeuble d'appartements (moins de 5 étages)
",Électricité,,28.9
2015,Canada,"Immeuble d'appartements (moins de 5 étages)
",Gaz naturel,,71.6
2015,Canada,"Immeuble d'appartements (moins de 5 étages)
",Mazout,,55.4
2015,Canada,"Immeuble d'appartements (5 étages ou plus)
","Total, tous les types d'énergie	
",,37.1
2015,Canada,"Immeuble d'appartements (5 étages ou plus)
",Électricité,,23.8
2015,Canada,"Immeuble d'appartements (5 étages ou plus)
",Gaz naturel,,72.8
2015,Canada,"Immeuble d'appartements (5 étages ou plus)
",Mazout,,
2015,Canada,Maison mobile,"Total, tous les types d'énergie	
",,79.8
2015,Canada,Maison mobile,Électricité,,34.2
2015,Canada,Maison mobile,Gaz naturel,,82.8
2015,Canada,Maison mobile,Mazout,,
2015,Terre-Neuve-et-Labrador,Maison individuelle,"Total, tous les types d'énergie	
",10,86.9
2015,Terre-Neuve-et-Labrador,Maison individuelle,Électricité,10,63.9
2015,Terre-Neuve-et-Labrador,Maison individuelle,Gaz naturel,10,
2015,Terre-Neuve-et-Labrador,Maison individuelle,Mazout,10,98.0
2015,Terre-Neuve-et-Labrador,Maison double,"Total, tous les types d'énergie	
",10,
2015,Terre-Neuve-et-Labrador,Maison double,Électricité,10,
2015,Terre-Neuve-et-Labrador,Maison double,Gaz naturel,10,
2015,Terre-Neuve-et-Labrador,Maison double,Mazout,10,
2015,Terre-Neuve-et-Labrador,Maison en rangée,"Total, tous les types d'énergie	
",10,
2015,Terre-Neuve-et-Labrador,Maison en rangée,Électricité,10,
2015,Terre-Neuve-et-Labrador,Maison en rangée,Gaz naturel,10,
2015,Terre-Neuve-et-Labrador,Maison en rangée,Mazout,10,
2015,Terre-Neuve-et-Labrador,Duplex,"Total, tous les types d'énergie	
",10,
2015,Terre-Neuve-et-Labrador,Duplex,Électricité,10,
2015,Terre-Neuve-et-Labrador,Duplex,Gaz naturel,10,
2015,Terre-Neuve-et-Labrador,Duplex,Mazout,10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (moins de 5 étages)
","Total, tous les types d'énergie	
",10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (moins de 5 étages)
",Électricité,10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (moins de 5 étages)
",Gaz naturel,10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (moins de 5 étages)
",Mazout,10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (5 étages ou plus)
","Total, tous les types d'énergie	
",10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (5 étages ou plus)
",Électricité,10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (5 étages ou plus)
",Gaz naturel,10,
2015,Terre-Neuve-et-Labrador,"Immeuble d'appartements (5 étages ou plus)
",Mazout,10,
2015,Terre-Neuve-et-Labrador,Maison mobile,"Total, tous les types d'énergie	
",10,
2015,Terre-Neuve-et-Labrador,Maison mobile,Électricité,10,
2015,Terre-Neuve-et-Labrador,Maison mobile,Gaz naturel,10,
2015,Terre-Neuve-et-Labrador,Maison mobile,Mazout,10,
2015,Île-du-Prince-Édouard,Maison individuelle,"Total, tous les types d'énergie	
",11,113.0
2015,Île-du-Prince-Édouard,Maison individuelle,Électricité,11,43.2
2015,Île-du-Prince-Édouard,Maison individuelle,Gaz naturel,11,
2015,Île-du-Prince-Édouard,Maison individuelle,Mazout,11,82.4
2015,Île-du-Prince-Édouard,Maison double,"Total, tous les types d'énergie	
",11,
2015,Île-du-Prince-Édouard,Maison double,Électricité,11,
2015,Île-du-Prince-Édouard,Maison double,Gaz naturel,11,
2015,Île-du-Prince-Édouard,Maison double,Mazout,11,
2015,Île-du-Prince-Édouard,Maison en rangée,"Total, tous les types d'énergie	
",11,
2015,Île-du-Prince-Édouard,Maison en rangée,Électricité,11,
2015,Île-du-Prince-Édouard,Maison en rangée,Gaz naturel,11,
2015,Île-du-Prince-Édouard,Maison en rangée,Mazout,11,
2015,Île-du-Prince-Édouard,Duplex,"Total, tous les types d'énergie	
",11,
2015,Île-du-Prince-Édouard,Duplex,Électricité,11,
2015,Île-du-Prince-Édouard,Duplex,Gaz naturel,11,
2015,Île-du-Prince-Édouard,Duplex,Mazout,11,
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (moins de 5 étages)
","Total, tous les types d'énergie	
",11,79.4
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (moins de 5 étages)
",Électricité,11,24.0
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (moins de 5 étages)
",Gaz naturel,11,
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (moins de 5 étages)
",Mazout,11,
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (5 étages ou plus)
","Total, tous les types d'énergie	
",11,
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (5 étages ou plus)
",Électricité,11,
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (5 étages ou plus)
",Gaz naturel,11,
2015,Île-du-Prince-Édouard,"Immeuble d'appartements (5 étages ou plus)
",Mazout,11,
2015,Île-du-Prince-Édouard,Maison mobile,"Total, tous les types d'énergie	
",11,
2015,Île-du-Prince-Édouard,Maison mobile,Électricité,11,
2015,Île-du-Prince-Édouard,Maison mobile,Gaz naturel,11,
2015,Île-du-Prince-Édouard,Maison mobile,Mazout,11,
2015,Nouvelle-Écosse,Maison individuelle,"Total, tous les types d'énergie	
",12,98.0
2015,Nouvelle-Écosse,Maison individuelle,Électricité,12,41.2
2015,Nouvelle-Écosse,Maison individuelle,Gaz naturel,12,
2015,Nouvelle-Écosse,Maison individuelle,Mazout,12,97.1
2015,Nouvelle-Écosse,Maison double,"Total, tous les types d'énergie	
",12,
2015,Nouvelle-Écosse,Maison double,Électricité,12,
2015,Nouvelle-Écosse,Maison double,Gaz naturel,12,
2015,Nouvelle-Écosse,Maison double,Mazout,12,
2015,Nouvelle-Écosse,Maison en rangée,"Total, tous les types d'énergie	
",12,
2015,Nouvelle-Écosse,Maison en rangée,Électricité,12,
2015,Nouvelle-Écosse,Maison en rangée,Gaz naturel,12,
2015,Nouvelle-Écosse,Maison en rangée,Mazout,12,
2015,Nouvelle-Écosse,Duplex,"Total, tous les types d'énergie	
",12,
2015,Nouvelle-Écosse,Duplex,Électricité,12,
2015,Nouvelle-Écosse,Duplex,Gaz naturel,12,
2015,Nouvelle-Écosse,Duplex,Mazout,12,
