Year,Géographie,Type de production d'électricité,GeoCode,Value
2015,,,,64.91
2016,,,,64.04
2017,,,,65.28
2018,,,,64.84
2019,,,,64.5
2020,,,,66.33
2021,,,,66.29
2022,,,,67.91
2015,Alberta,Turbine à hydraulique,48,3.21
2015,Alberta,Autres types de production électrique,48,0.0
2015,Alberta,Turbine éolienne,48,3.86
2015,Colombie-Britannique,Turbine à hydraulique,59,90.92
2015,Canada,Turbine à hydraulique,,63.37
2015,Canada,Autres types de production électrique,,0.0
2015,Canada,Solaire,,0.04
2015,Canada,Turbine marémotrice,,0.0
2015,Canada,Turbine éolienne,,1.49
2015,Manitoba,Turbine à hydraulique,46,98.42
2015,Manitoba,Turbine éolienne,46,1.13
2015,Nouveau-Brunswick,Turbine à hydraulique,13,19.94
2015,Nouveau-Brunswick,Turbine éolienne,13,4.72
2015,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.47
2015,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.23
2015,Territoires du Nord-Ouest,Turbine à hydraulique,61,25.39
2015,Territoires du Nord-Ouest,Turbine éolienne,61,3.34
2015,Nouvelle-Écosse,Turbine à hydraulique,12,10.16
2015,Nouvelle-Écosse,Turbine marémotrice,12,0.13
2015,Nouvelle-Écosse,Turbine éolienne,12,4.95
2015,Nunavut,Turbine à hydraulique,62,0.0
2015,Ontario,Turbine à hydraulique,35,25.08
2015,Ontario,Autres types de production électrique,35,0.0
2015,Ontario,Solaire,35,0.18
2015,Ontario,Turbine éolienne,35,2.11
2015,Île-du-Prince-Édouard,Turbine éolienne,11,98.34
2015,Québec,Turbine à hydraulique,24,99.0
2015,Québec,Turbine éolienne,24,0.39
2015,Saskatchewan,Turbine à hydraulique,47,14.45
2015,Saskatchewan,Autres types de production électrique,47,0.0
2015,Saskatchewan,Turbine éolienne,47,3.35
2015,Yukon,Turbine à hydraulique,60,94.16
2015,Yukon,Autres types de production électrique,60,0.0
2015,Yukon,Turbine éolienne,60,0.15
2016,Alberta,Turbine à hydraulique,48,2.46
2016,Alberta,Autres types de production électrique,48,0.22
2016,Alberta,Solaire,48,0.0
2016,Alberta,Turbine éolienne,48,5.79
2016,Colombie-Britannique,Turbine à hydraulique,59,88.7
2016,Colombie-Britannique,Autres types de production électrique,59,0.0
2016,Colombie-Britannique,Solaire,59,0.0
2016,Colombie-Britannique,Turbine marémotrice,59,0.0
2016,Colombie-Britannique,Turbine éolienne,59,1.79
2016,Canada,Turbine à hydraulique,,59.01
2016,Canada,Autres types de production électrique,,0.03
2016,Canada,Solaire,,0.28
2016,Canada,Turbine marémotrice,,0.0
2016,Canada,Turbine éolienne,,4.72
2016,Manitoba,Turbine à hydraulique,46,97.0
2016,Manitoba,Autres types de production électrique,46,0.0
2016,Manitoba,Solaire,46,0.0
2016,Manitoba,Turbine éolienne,46,2.6
2016,Nouveau-Brunswick,Turbine à hydraulique,13,21.43
2016,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2016,Nouveau-Brunswick,Solaire,13,0.0
2016,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2016,Nouveau-Brunswick,Turbine éolienne,13,5.06
2016,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,94.31
2016,Terre-Neuve-et-Labrador,Autres types de production électrique,10,0.0
2016,Terre-Neuve-et-Labrador,Solaire,10,0.0
2016,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
2016,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.45
2016,Territoires du Nord-Ouest,Turbine à hydraulique,61,30.04
2016,Territoires du Nord-Ouest,Solaire,61,0.03
2016,Territoires du Nord-Ouest,Turbine éolienne,61,1.8
2016,Nouvelle-Écosse,Turbine à hydraulique,12,8.18
2016,Nouvelle-Écosse,Autres types de production électrique,12,0.0
2016,Nouvelle-Écosse,Solaire,12,0.0
2016,Nouvelle-Écosse,Turbine marémotrice,12,0.19
2016,Nouvelle-Écosse,Turbine éolienne,12,10.19
2016,Nunavut,Turbine à hydraulique,62,0.0
2016,Nunavut,Solaire,62,0.0
2016,Nunavut,Turbine éolienne,62,0.0
2016,Ontario,Turbine à hydraulique,35,23.33
2016,Ontario,Autres types de production électrique,35,0.0
2016,Ontario,Solaire,35,1.14
2016,Ontario,Turbine éolienne,35,6.75
2016,Île-du-Prince-Édouard,Turbine à hydraulique,11,0.0
2016,Île-du-Prince-Édouard,Autres types de production électrique,11,0.0
2016,Île-du-Prince-Édouard,Solaire,11,0.0
2016,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2016,Île-du-Prince-Édouard,Turbine éolienne,11,98.36
2016,Québec,Turbine à hydraulique,24,94.25
2016,Québec,Autres types de production électrique,24,0.0
2016,Québec,Solaire,24,0.0
2016,Québec,Turbine éolienne,24,4.65
2016,Saskatchewan,Turbine à hydraulique,47,13.34
2016,Saskatchewan,Autres types de production électrique,47,0.0
2016,Saskatchewan,Solaire,47,0.0
2016,Saskatchewan,Turbine éolienne,47,3.0
2016,Yukon,Turbine à hydraulique,60,93.85
2016,Yukon,Autres types de production électrique,60,0.0
2016,Yukon,Solaire,60,0.0
2016,Yukon,Turbine éolienne,60,0.11
2017,Alberta,Turbine à hydraulique,48,2.52
2017,Alberta,Autres types de production électrique,48,0.25
2017,Alberta,Solaire,48,0.0
2017,Alberta,Turbine éolienne,48,5.59
2017,Colombie-Britannique,Turbine à hydraulique,59,89.3
2017,Colombie-Britannique,Autres types de production électrique,59,0.0
2017,Colombie-Britannique,Solaire,59,0.0
2017,Colombie-Britannique,Turbine marémotrice,59,0.0
2017,Colombie-Britannique,Turbine éolienne,59,2.14
2017,Canada,Turbine à hydraulique,,60.17
2017,Canada,Autres types de production électrique,,0.03
2017,Canada,Solaire,,0.32
2017,Canada,Turbine marémotrice,,0.0
2017,Canada,Turbine éolienne,,4.76
2017,Manitoba,Turbine à hydraulique,46,97.07
2017,Manitoba,Autres types de production électrique,46,0.0
2017,Manitoba,Solaire,46,0.0
2017,Manitoba,Turbine éolienne,46,2.5
2017,Nouveau-Brunswick,Turbine à hydraulique,13,19.27
2017,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2017,Nouveau-Brunswick,Solaire,13,0.0
2017,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2017,Nouveau-Brunswick,Turbine éolienne,13,6.11
2017,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,93.98
2017,Terre-Neuve-et-Labrador,Autres types de production électrique,10,0.0
2017,Terre-Neuve-et-Labrador,Solaire,10,0.0
2017,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
2017,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.47
2017,Territoires du Nord-Ouest,Turbine à hydraulique,61,33.06
2017,Territoires du Nord-Ouest,Solaire,61,0.04
2017,Territoires du Nord-Ouest,Turbine éolienne,61,2.27
2017,Nouvelle-Écosse,Turbine à hydraulique,12,8.46
2017,Nouvelle-Écosse,Autres types de production électrique,12,0.0
2017,Nouvelle-Écosse,Solaire,12,0.0
2017,Nouvelle-Écosse,Turbine marémotrice,12,0.06
2017,Nouvelle-Écosse,Turbine éolienne,12,13.05
2017,Nunavut,Turbine à hydraulique,62,0.0
2017,Nunavut,Solaire,62,0.0
2017,Nunavut,Turbine éolienne,62,0.0
2017,Ontario,Turbine à hydraulique,35,25.85
2017,Ontario,Autres types de production électrique,35,0.0
2017,Ontario,Solaire,35,1.34
2017,Ontario,Turbine éolienne,35,6.75
2017,Île-du-Prince-Édouard,Turbine à hydraulique,11,0.0
2017,Île-du-Prince-Édouard,Autres types de production électrique,11,0.0
2017,Île-du-Prince-Édouard,Solaire,11,0.0
2017,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2017,Île-du-Prince-Édouard,Turbine éolienne,11,98.23
2017,Québec,Turbine à hydraulique,24,94.23
2017,Québec,Autres types de production électrique,24,0.0
2017,Québec,Solaire,24,0.0
2017,Québec,Turbine éolienne,24,4.59
2017,Saskatchewan,Turbine à hydraulique,47,15.61
2017,Saskatchewan,Autres types de production électrique,47,0.0
2017,Saskatchewan,Solaire,47,0.0
2017,Saskatchewan,Turbine éolienne,47,3.01
2017,Yukon,Turbine à hydraulique,60,92.45
2017,Yukon,Autres types de production électrique,60,0.0
2017,Yukon,Solaire,60,0.0
2017,Yukon,Turbine éolienne,60,0.01
2018,Alberta,Turbine à hydraulique,48,2.52
2018,Alberta,Autres types de production électrique,48,0.26
2018,Alberta,Solaire,48,0.03
2018,Alberta,Turbine éolienne,48,5.19
2018,Colombie-Britannique,Turbine à hydraulique,59,89.59
2018,Colombie-Britannique,Autres types de production électrique,59,0.0
2018,Colombie-Britannique,Solaire,59,0.0
2018,Colombie-Britannique,Turbine marémotrice,59,0.0
2018,Colombie-Britannique,Turbine éolienne,59,2.11
2018,Canada,Turbine à hydraulique,,59.49
2018,Canada,Autres types de production électrique,,0.03
2018,Canada,Solaire,,0.34
2018,Canada,Turbine marémotrice,,0.0
2018,Canada,Turbine éolienne,,4.96
2018,Manitoba,Turbine à hydraulique,46,97.08
2018,Manitoba,Autres types de production électrique,46,0.0
2018,Manitoba,Solaire,46,0.0
2018,Manitoba,Turbine éolienne,46,2.63
2018,Nouveau-Brunswick,Turbine à hydraulique,13,18.54
2018,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2018,Nouveau-Brunswick,Solaire,13,0.0
2018,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2018,Nouveau-Brunswick,Turbine éolienne,13,6.04
2018,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.51
2018,Terre-Neuve-et-Labrador,Autres types de production électrique,10,0.0
2018,Terre-Neuve-et-Labrador,Solaire,10,0.0
2018,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
2018,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.47
2018,Territoires du Nord-Ouest,Turbine à hydraulique,61,33.64
2018,Territoires du Nord-Ouest,Solaire,61,0.04
2018,Territoires du Nord-Ouest,Turbine éolienne,61,2.39
2018,Nouvelle-Écosse,Turbine à hydraulique,12,9.03
2018,Nouvelle-Écosse,Autres types de production électrique,12,0.0
2018,Nouvelle-Écosse,Solaire,12,0.0
2018,Nouvelle-Écosse,Turbine marémotrice,12,0.19
2018,Nouvelle-Écosse,Turbine éolienne,12,11.68
2018,Nunavut,Turbine à hydraulique,62,0.0
2018,Nunavut,Solaire,62,0.0
2018,Nunavut,Turbine éolienne,62,0.0
2018,Ontario,Turbine à hydraulique,35,24.37
2018,Ontario,Autres types de production électrique,35,0.0
2018,Ontario,Solaire,35,1.41
2018,Ontario,Turbine éolienne,35,7.28
2018,Île-du-Prince-Édouard,Turbine à hydraulique,11,0.0
2018,Île-du-Prince-Édouard,Autres types de production électrique,11,0.0
2018,Île-du-Prince-Édouard,Solaire,11,0.04
2018,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2018,Île-du-Prince-Édouard,Turbine éolienne,11,96.87
2018,Québec,Turbine à hydraulique,24,93.99
2018,Québec,Autres types de production électrique,24,0.0
2018,Québec,Solaire,24,0.0
2018,Québec,Turbine éolienne,24,4.98
2018,Saskatchewan,Turbine à hydraulique,47,14.46
2018,Saskatchewan,Autres types de production électrique,47,0.0
2018,Saskatchewan,Solaire,47,0.0
2018,Saskatchewan,Turbine éolienne,47,2.83
2018,Yukon,Turbine à hydraulique,60,87.51
2018,Yukon,Autres types de production électrique,60,0.0
2018,Yukon,Solaire,60,0.0
2018,Yukon,Turbine éolienne,60,0.0
2019,Alberta,Turbine à hydraulique,48,3.12
2019,Alberta,Autres types de production électrique,48,0.06
2019,Alberta,Solaire,48,0.03
2019,Alberta,Turbine éolienne,48,4.95
2019,Colombie-Britannique,Turbine à hydraulique,59,87.46
2019,Colombie-Britannique,Autres types de production électrique,59,0.0
2019,Colombie-Britannique,Solaire,59,0.0
2019,Colombie-Britannique,Turbine marémotrice,59,0.0
2019,Colombie-Britannique,Turbine éolienne,59,2.35
2019,Canada,Turbine à hydraulique,,58.97
2019,Canada,Autres types de production électrique,,0.03
2019,Canada,Solaire,,0.38
2019,Canada,Turbine marémotrice,,0.0
2019,Canada,Turbine éolienne,,5.12
2019,Manitoba,Turbine à hydraulique,46,97.07
2019,Manitoba,Autres types de production électrique,46,0.0
2019,Manitoba,Solaire,46,0.0
2019,Manitoba,Turbine éolienne,46,2.61
2019,Nouveau-Brunswick,Turbine à hydraulique,13,22.18
2019,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2019,Nouveau-Brunswick,Solaire,13,0.0
2019,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2019,Nouveau-Brunswick,Turbine éolienne,13,6.49
2019,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.55
2019,Terre-Neuve-et-Labrador,Autres types de production électrique,10,0.0
2019,Terre-Neuve-et-Labrador,Solaire,10,0.0
2019,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
