Year,Géographie,Caractéristiques de disponibilité et écoulement,Value
2015,Canada,Consommation énergétique finale,3.98
2015,Canada,Total industriel,1.31
2015,Canada,Total transport,1.29
2015,Canada,"Agriculture, pêche, chasse et piégage",0.14
2015,Canada,Résidentiel,0.67
2015,Canada,Administrations publiques,0.06
2015,Canada,Commerces et autres institutions,0.51
2015,Terre-Neuve-et-Labrador,Consommation énergétique finale,3.85
2015,Terre-Neuve-et-Labrador,Total industriel,0.9
2015,Terre-Neuve-et-Labrador,Total transport,1.6
2015,Terre-Neuve-et-Labrador,"Agriculture, pêche, chasse et piégage",0.01
2015,Terre-Neuve-et-Labrador,Résidentiel,0.6
2015,Terre-Neuve-et-Labrador,Administrations publiques,0.15
2015,Terre-Neuve-et-Labrador,Commerces et autres institutions,0.58
2015,Île-du-Prince-Édouard,Consommation énergétique finale,3.63
2015,Île-du-Prince-Édouard,Total industriel,0.41
2015,Île-du-Prince-Édouard,Total transport,1.71
2015,Île-du-Prince-Édouard,"Agriculture, pêche, chasse et piégage",0.34
2015,Île-du-Prince-Édouard,Résidentiel,0.58
2015,Île-du-Prince-Édouard,Administrations publiques,0.07
2015,Île-du-Prince-Édouard,Commerces et autres institutions,0.52
2015,Nouvelle-Écosse,Consommation énergétique finale,3.54
2015,Nouvelle-Écosse,Total industriel,0.42
2015,Nouvelle-Écosse,Total transport,1.63
2015,Nouvelle-Écosse,"Agriculture, pêche, chasse et piégage",0.04
2015,Nouvelle-Écosse,Résidentiel,0.8
2015,Nouvelle-Écosse,Administrations publiques,0.17
2015,Nouvelle-Écosse,Commerces et autres institutions,0.47
2015,Nouveau-Brunswick,Consommation énergétique finale,4.16
2015,Nouveau-Brunswick,Total industriel,1.09
2015,Nouveau-Brunswick,Total transport,1.57
2015,Nouveau-Brunswick,"Agriculture, pêche, chasse et piégage",0.05
2015,Nouveau-Brunswick,Résidentiel,0.86
2015,Nouveau-Brunswick,Administrations publiques,0.13
2015,Nouveau-Brunswick,Commerces et autres institutions,0.45
2015,Québec,Consommation énergétique finale,3.96
2015,Québec,Total industriel,1.29
2015,Québec,Total transport,1.25
2015,Québec,"Agriculture, pêche, chasse et piégage",0.08
2015,Québec,Résidentiel,0.72
2015,Québec,Administrations publiques,0.1
2015,Québec,Commerces et autres institutions,0.52
2015,Ontario,Consommation énergétique finale,3.19
2015,Ontario,Total industriel,0.74
2015,Ontario,Total transport,1.11
2015,Ontario,"Agriculture, pêche, chasse et piégage",0.08
2015,Ontario,Résidentiel,0.71
2015,Ontario,Administrations publiques,0.03
2015,Ontario,Commerces et autres institutions,0.53
2015,Manitoba,Consommation énergétique finale,4.04
2015,Manitoba,Total industriel,0.85
2015,Manitoba,Total transport,1.34
2015,Manitoba,"Agriculture, pêche, chasse et piégage",0.35
2015,Manitoba,Résidentiel,0.73
2015,Manitoba,Administrations publiques,0.07
2015,Manitoba,Commerces et autres institutions,0.69
2015,Saskatchewan,Consommation énergétique finale,6.3
2015,Saskatchewan,Total industriel,1.8
2015,Saskatchewan,Total transport,2.28
2015,Saskatchewan,"Agriculture, pêche, chasse et piégage",0.96
2015,Saskatchewan,Résidentiel,0.62
2015,Saskatchewan,Administrations publiques,0.12
2015,Saskatchewan,Commerces et autres institutions,0.53
2015,Alberta,Consommation énergétique finale,6.05
2015,Alberta,Total industriel,3.28
2015,Alberta,Total transport,1.42
2015,Alberta,"Agriculture, pêche, chasse et piégage",0.2
2015,Alberta,Résidentiel,0.61
2015,Alberta,Administrations publiques,0.05
2015,Alberta,Commerces et autres institutions,0.51
2015,Colombie-Britannique,Consommation énergétique finale,3.18
2015,Colombie-Britannique,Total industriel,0.82
2015,Colombie-Britannique,Total transport,1.31
2015,Colombie-Britannique,"Agriculture, pêche, chasse et piégage",0.1
