Year,Units,Secteur,Value
2015,"Dollar américain, millions, prix constants de 2024",,0.586365
2016,"Dollar américain, millions, prix constants de 2024",,2.271176
2017,"Dollar américain, millions, prix constants de 2024",,141.716557
2018,"Dollar américain, millions, prix constants de 2024",,183.474525
2019,"Dollar américain, millions, prix constants de 2024",,89.791898
2020,"Dollar américain, millions, prix constants de 2024",,219.012828
2021,"Dollar américain, millions, prix constants de 2024",,291.54617
2022,"Dollar américain, millions, prix constants de 2024",,290.792843
2023,"Dollar américain, millions, prix constants de 2024",,290.043991
2024,"Dollar américain, millions, prix constants de 2024",,139.598416
2015,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",0.48135
2015,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,0.105015
2016,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",0.676362
2016,"Dollar américain, millions, prix constants de 2024",Recherche dans le domaine de l'énergie,0.092417
2016,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,0.079038
2016,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,1.423359
2017,"Dollar américain, millions, prix constants de 2024",Centrales à biocombustibles,27.493914
2017,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",28.537299
2017,"Dollar américain, millions, prix constants de 2024",Recherche dans le domaine de l'énergie,0.025033
2017,"Dollar américain, millions, prix constants de 2024",Énergie géothermique,27.493914
2017,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,0.000822
2017,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,30.671661
2017,"Dollar américain, millions, prix constants de 2024",Énergie éolienne,27.493914
2018,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",136.629304
2018,"Dollar américain, millions, prix constants de 2024",Recherche dans le domaine de l'énergie,0.045534
2018,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,44.056836
2018,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,2.742851
2019,"Dollar américain, millions, prix constants de 2024",Centrales à biocombustibles,5.411868
2019,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",12.490461
2019,"Dollar américain, millions, prix constants de 2024",Énergie géothermique,3.698944
2019,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,4.282311
2019,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,47.362437
2019,"Dollar américain, millions, prix constants de 2024",Énergie éolienne,16.545877
2020,"Dollar américain, millions, prix constants de 2024",Centrales à biocombustibles,7.055763
2020,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",153.281328
2020,"Dollar américain, millions, prix constants de 2024",Énergie géothermique,5.508494
2020,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,2.945335
2020,"Dollar américain, millions, prix constants de 2024",Énergie solaire - usage thermique,0.00275
2020,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,35.955105
2020,"Dollar américain, millions, prix constants de 2024",Énergie éolienne,14.264053
2021,"Dollar américain, millions, prix constants de 2024",Centrales à biocombustibles,21.397463
2021,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",145.072183
2021,"Dollar américain, millions, prix constants de 2024",Énergie géothermique,20.234938
2021,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,2.55478
2021,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,66.184153
2021,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux isolés et systèmes autonomes,7.800083
2021,"Dollar américain, millions, prix constants de 2024",Énergie éolienne,28.30257
2022,"Dollar américain, millions, prix constants de 2024",Centrales à biocombustibles,0.109753
2022,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",287.357713
2022,"Dollar américain, millions, prix constants de 2024",Recherche dans le domaine de l'énergie,0.192227
2022,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,0.006412
2022,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,3.126738
2023,"Dollar américain, millions, prix constants de 2024",Centrales à biocombustibles,0.186536
2023,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",287.161337
2023,"Dollar américain, millions, prix constants de 2024",Recherche dans le domaine de l'énergie,0.126841
2023,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,0.009867
2023,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,1.669981
2023,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux isolés et systèmes autonomes,0.889429
2024,"Dollar américain, millions, prix constants de 2024","Production d'énergie, sources renouvelables - multiples technologies",136.361294
2024,"Dollar américain, millions, prix constants de 2024",Recherche dans le domaine de l'énergie,0.021897
2024,"Dollar américain, millions, prix constants de 2024",Centrales hydrauliques,0.003458
2024,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux centralisés,2.643607
2024,"Dollar américain, millions, prix constants de 2024",Énergie solaire pour réseaux isolés et systèmes autonomes,0.56816
