Year,Units,Type de flux,Value
2015,"Dollar américain, millions, prix constants de 2024",Engagements,871.922461
2015,"Dollar américain, millions, prix constants de 2024",Versements,418.988127
2016,"Dollar américain, millions, prix constants de 2024",Engagements,669.616215
2016,"Dollar américain, millions, prix constants de 2024",Versements,474.634496
2017,"Dollar américain, millions, prix constants de 2024",Engagements,224.004637
2017,"Dollar américain, millions, prix constants de 2024",Versements,556.95954
2018,"Dollar américain, millions, prix constants de 2024",Engagements,682.342624
2018,"Dollar américain, millions, prix constants de 2024",Versements,684.975552
2019,"Dollar américain, millions, prix constants de 2024",Engagements,548.380084
2019,"Dollar américain, millions, prix constants de 2024",Versements,437.688096
2020,"Dollar américain, millions, prix constants de 2024",Engagements,501.798591
2020,"Dollar américain, millions, prix constants de 2024",Versements,685.712189
2021,"Dollar américain, millions, prix constants de 2024",Engagements,623.232939
2021,"Dollar américain, millions, prix constants de 2024",Versements,824.772446
2022,"Dollar américain, millions, prix constants de 2024",Engagements,1186.204441
2022,"Dollar américain, millions, prix constants de 2024",Versements,696.532707
2023,"Dollar américain, millions, prix constants de 2024",Engagements,355.218182
2023,"Dollar américain, millions, prix constants de 2024",Versements,609.313487
2024,"Dollar américain, millions, prix constants de 2024",Engagements,244.280346
2024,"Dollar américain, millions, prix constants de 2024",Versements,652.30948
