Year,Value,Units,Series
1990,40.54335524,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1991,40.53742018,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1992,40.53137522,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1993,40.52587979,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1994,40.51741684,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1995,40.51302051,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1996,40.50917371,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1997,40.5051071,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1998,40.50104049,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1999,40.49642433,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2000,40.49147845,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2001,40.48719202,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2002,40.48290559,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2003,40.47719036,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2004,40.47180484,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2005,40.46652924,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2006,40.46169327,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2007,40.45334022,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2008,40.44817453,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2009,40.44311874,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2010,40.43850258,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2011,40.43410625,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2012,40.42949009,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2013,40.42476403,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2014,40.41893888,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2015,40.4126741,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2016,40.40651923,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2017,40.40036436,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2018,40.39464912,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2019,40.38915369,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2020,40.38354836,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2021,40.37805294,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
2022,40.37266743,Pourcentage (%),Superficie forestière en proportion de la superficie terrestre totale
1990,368883000.0,Hectares,Superficie forestière
1991,368829000.0,Hectares,Superficie forestière
1992,368774000.0,Hectares,Superficie forestière
1993,368724000.0,Hectares,Superficie forestière
1994,368647000.0,Hectares,Superficie forestière
1995,368607000.0,Hectares,Superficie forestière
1996,368572000.0,Hectares,Superficie forestière
1997,368535000.0,Hectares,Superficie forestière
1998,368498000.0,Hectares,Superficie forestière
1999,368456000.0,Hectares,Superficie forestière
2000,368411000.0,Hectares,Superficie forestière
2001,368372000.0,Hectares,Superficie forestière
2002,368333000.0,Hectares,Superficie forestière
2003,368281000.0,Hectares,Superficie forestière
2004,368232000.0,Hectares,Superficie forestière
2005,368184000.0,Hectares,Superficie forestière
2006,368140000.0,Hectares,Superficie forestière
2007,368064000.0,Hectares,Superficie forestière
2008,368017000.0,Hectares,Superficie forestière
2009,367971000.0,Hectares,Superficie forestière
2010,367929000.0,Hectares,Superficie forestière
2011,367889000.0,Hectares,Superficie forestière
2012,367847000.0,Hectares,Superficie forestière
2013,367804000.0,Hectares,Superficie forestière
2014,367751000.0,Hectares,Superficie forestière
2015,367694000.0,Hectares,Superficie forestière
2016,367638000.0,Hectares,Superficie forestière
2017,367582000.0,Hectares,Superficie forestière
2018,367530000.0,Hectares,Superficie forestière
2019,367480000.0,Hectares,Superficie forestière
2020,367429000.0,Hectares,Superficie forestière
2021,367379000.0,Hectares,Superficie forestière
2022,367330000.0,Hectares,Superficie forestière
1990,909848230.0,Hectares,Superficie terrestre
1991,909848230.0,Hectares,Superficie terrestre
1992,909848230.0,Hectares,Superficie terrestre
1993,909848230.0,Hectares,Superficie terrestre
1994,909848230.0,Hectares,Superficie terrestre
1995,909848230.0,Hectares,Superficie terrestre
1996,909848230.0,Hectares,Superficie terrestre
1997,909848230.0,Hectares,Superficie terrestre
1998,909848230.0,Hectares,Superficie terrestre
1999,909848230.0,Hectares,Superficie terrestre
2000,909848230.0,Hectares,Superficie terrestre
2001,909848230.0,Hectares,Superficie terrestre
2002,909848230.0,Hectares,Superficie terrestre
2003,909848230.0,Hectares,Superficie terrestre
2004,909848230.0,Hectares,Superficie terrestre
2005,909848230.0,Hectares,Superficie terrestre
2006,909848230.0,Hectares,Superficie terrestre
2007,909848230.0,Hectares,Superficie terrestre
2008,909848230.0,Hectares,Superficie terrestre
2009,909848230.0,Hectares,Superficie terrestre
2010,909848230.0,Hectares,Superficie terrestre
2011,909848230.0,Hectares,Superficie terrestre
2012,909848230.0,Hectares,Superficie terrestre
2013,909848230.0,Hectares,Superficie terrestre
2014,909848230.0,Hectares,Superficie terrestre
2015,909848230.0,Hectares,Superficie terrestre
2016,909848230.0,Hectares,Superficie terrestre
2017,909848230.0,Hectares,Superficie terrestre
2018,909848230.0,Hectares,Superficie terrestre
2019,909848230.0,Hectares,Superficie terrestre
2020,909848230.0,Hectares,Superficie terrestre
2021,909848230.0,Hectares,Superficie terrestre
2022,909848230.0,Hectares,Superficie terrestre
