Year,Value,Units
2015,7.611514,"Dollar américain, millions, prix constants de 2024"
2016,4.983644,"Dollar américain, millions, prix constants de 2024"
2017,6.897621,"Dollar américain, millions, prix constants de 2024"
2018,9.38466,"Dollar américain, millions, prix constants de 2024"
2019,6.564332,"Dollar américain, millions, prix constants de 2024"
2020,3.075683,"Dollar américain, millions, prix constants de 2024"
2021,5.475397,"Dollar américain, millions, prix constants de 2024"
2022,2.875986,"Dollar américain, millions, prix constants de 2024"
2023,3.225222,"Dollar américain, millions, prix constants de 2024"
2024,4.724331,"Dollar américain, millions, prix constants de 2024"
