Year,Value,Series
2015,30.27,Investissement direct étranger (IDE) entrant
2016,31.83,Investissement direct étranger (IDE) entrant
2017,34.38,Investissement direct étranger (IDE) entrant
2018,35.95,Investissement direct étranger (IDE) entrant
2019,42.62,Investissement direct étranger (IDE) entrant
2020,43.2,Investissement direct étranger (IDE) entrant
2021,46.66,Investissement direct étranger (IDE) entrant
2022,48.04,Investissement direct étranger (IDE) entrant
2023,47.53,Investissement direct étranger (IDE) entrant
2015,0.27,Aide publique au développement (APD)
2016,0.26,Aide publique au développement (APD)
2017,0.27,Aide publique au développement (APD)
2018,0.28,Aide publique au développement (APD)
2019,0.27,Aide publique au développement (APD)
2020,0.31,Aide publique au développement (APD)
2021,0.32,Aide publique au développement (APD)
2022,0.37,Aide publique au développement (APD)
2023,0.38,Aide publique au développement (APD)
