Year,Value,Units
2015,386.431757,"Dollar américain, millions, prix constants de 2024"
2016,416.757763,"Dollar américain, millions, prix constants de 2024"
2017,393.230847,"Dollar américain, millions, prix constants de 2024"
2018,354.901968,"Dollar américain, millions, prix constants de 2024"
2019,272.054498,"Dollar américain, millions, prix constants de 2024"
2020,356.431981,"Dollar américain, millions, prix constants de 2024"
2021,1227.097877,"Dollar américain, millions, prix constants de 2024"
2022,939.904629,"Dollar américain, millions, prix constants de 2024"
2023,443.043613,"Dollar américain, millions, prix constants de 2024"
2024,223.085969,"Dollar américain, millions, prix constants de 2024"
