Year,Value,Series
2020,17,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%)
2021,17,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%)
2022,17,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%)
2023,19,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%)
2024,20,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%)
2020,15,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%)
2021,14,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%)
2022,18,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%)
2023,20,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%)
2024,28,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%)
