Year,Value,Units
2015,0.586365,"Dollar américain, millions, prix constants de 2024"
2016,2.271176,"Dollar américain, millions, prix constants de 2024"
2017,141.716557,"Dollar américain, millions, prix constants de 2024"
2018,183.474525,"Dollar américain, millions, prix constants de 2024"
2019,89.791898,"Dollar américain, millions, prix constants de 2024"
2020,219.012828,"Dollar américain, millions, prix constants de 2024"
2021,291.54617,"Dollar américain, millions, prix constants de 2024"
2022,290.792843,"Dollar américain, millions, prix constants de 2024"
2023,290.043991,"Dollar américain, millions, prix constants de 2024"
2024,139.598416,"Dollar américain, millions, prix constants de 2024"
