Year,Value,Units,Series
2016,98.55,Pour cent (%),Évolution à long terme (LTE)
2017,99.14,Pour cent (%),Évolution à long terme (LTE)
2018,99.3,Pour cent (%),Évolution à long terme (LTE)
2019,99.48,Pour cent (%),Évolution à long terme (LTE)
2020,99.53,Pour cent (%),Évolution à long terme (LTE)
2021,99.42,Pour cent (%),Évolution à long terme (LTE)
2022,99.47,Pour cent (%),Évolution à long terme (LTE)
2016,83.35,Pour cent (%),Évolution à long terme - A (LTE-A)
2017,92.43,Pour cent (%),Évolution à long terme - A (LTE-A)
2018,94.9,Pour cent (%),Évolution à long terme - A (LTE-A)
2019,95.86,Pour cent (%),Évolution à long terme - A (LTE-A)
2020,97.45,Pour cent (%),Évolution à long terme - A (LTE-A)
2021,97.82,Pour cent (%),Évolution à long terme - A (LTE-A)
2022,97.8,Pour cent (%),Évolution à long terme - A (LTE-A)
2016,0.0,Pour cent (%),5G
2017,0.0,Pour cent (%),5G
2018,0.0,Pour cent (%),5G
2019,0.0,Pour cent (%),5G
2020,53.27,Pour cent (%),5G
2021,87.78,Pour cent (%),5G
2022,91.4,Pour cent (%),5G
2016,99.47,Pour cent (%),Accès haute vitesse évolué par paquets (HSPA+)
2017,99.49,Pour cent (%),Accès haute vitesse évolué par paquets (HSPA+)
2018,99.48,Pour cent (%),Accès haute vitesse évolué par paquets (HSPA+)
2019,99.53,Pour cent (%),Accès haute vitesse évolué par paquets (HSPA+)
2020,99.45,Pour cent (%),Accès haute vitesse évolué par paquets (HSPA+)
2021,99.5,Pour cent (%),Accès haute vitesse évolué par paquets (HSPA+)
2022,99.57,Pour cent (%),Accès haute vitesse évolué par paquets (HSPA+)
