Year,Persons in low income,Geography,GeoCode,Value
2015,,,,14.3
2016,,,,13.0
2017,,,,12.6
2018,,,,12.4
2019,,,,12.2
2020,,,,9.3
2021,,,,10.6
2022,,,,12.0
2023,,,,12.1
2024,,,,12.5
2015,Persons under 18 years,Canada,,15.3
2015,Persons 18 to 64 years,Canada,,13.9
2015,Persons 65 years and over,Canada,,14.6
2015,Men+,Canada,,13.7
2015,"Men+, under 18 years",Canada,,15.2
2015,"Men+, 18 to 64 years",Canada,,13.6
2015,"Men+, 65 years and over",Canada,,12.2
2015,Women+,Canada,,14.8
2015,"Women+, under 18 years",Canada,,15.5
2015,"Women+, 18 to 64 years",Canada,,14.1
2015,"Women+, 65 years and over",Canada,,16.6
2015,All persons,Atlantic provinces,,16.9
2015,Persons under 18 years,Atlantic provinces,,17.8
2015,Persons 18 to 64 years,Atlantic provinces,,15.0
2015,Persons 65 years and over,Atlantic provinces,,22.3
2015,Men+,Atlantic provinces,,15.7
2015,"Men+, under 18 years",Atlantic provinces,,17.1
2015,"Men+, 18 to 64 years",Atlantic provinces,,14.5
2015,"Men+, 65 years and over",Atlantic provinces,,18.3
2015,Women+,Atlantic provinces,,18.0
2015,"Women+, under 18 years",Atlantic provinces,,18.5
2015,"Women+, 18 to 64 years",Atlantic provinces,,15.5
2015,"Women+, 65 years and over",Atlantic provinces,,25.8
2015,All persons,Newfoundland and Labrador,10,15.9
2015,Persons under 18 years,Newfoundland and Labrador,,16.5
2015,Persons 18 to 64 years,Newfoundland and Labrador,,12.3
2015,Persons 65 years and over,Newfoundland and Labrador,,27.8
2015,Men+,Newfoundland and Labrador,,13.6
2015,"Men+, under 18 years",Newfoundland and Labrador,,15.6
2015,"Men+, 18 to 64 years",Newfoundland and Labrador,,10.5
2015,"Men+, 65 years and over",Newfoundland and Labrador,,23.1
2015,Women+,Newfoundland and Labrador,,18.1
2015,"Women+, under 18 years",Newfoundland and Labrador,,17.6
2015,"Women+, 18 to 64 years",Newfoundland and Labrador,,14.1
2015,"Women+, 65 years and over",Newfoundland and Labrador,,32.0
2015,All persons,Prince Edward Island,11,16.8
2015,Persons under 18 years,Prince Edward Island,,18.0
2015,Persons 18 to 64 years,Prince Edward Island,,15.1
2015,Persons 65 years and over,Prince Edward Island,,21.3
2015,Men+,Prince Edward Island,,15.2
2015,"Men+, under 18 years",Prince Edward Island,,16.0
2015,"Men+, 18 to 64 years",Prince Edward Island,,15.4
2015,"Men+, 65 years and over",Prince Edward Island,,13.9
2015,Women+,Prince Edward Island,,18.3
2015,"Women+, under 18 years",Prince Edward Island,,19.9
2015,"Women+, 18 to 64 years",Prince Edward Island,,14.9
2015,"Women+, 65 years and over",Prince Edward Island,,27.7
2015,All persons,Nova Scotia,12,17.3
2015,Persons under 18 years,Nova Scotia,,18.1
2015,Persons 18 to 64 years,Nova Scotia,,16.0
2015,Persons 65 years and over,Nova Scotia,,20.8
2015,Men+,Nova Scotia,,16.2
2015,"Men+, under 18 years",Nova Scotia,,16.4
2015,"Men+, 18 to 64 years",Nova Scotia,,15.8
2015,"Men+, 65 years and over",Nova Scotia,,17.1
2015,Women+,Nova Scotia,,18.4
2015,"Women+, under 18 years",Nova Scotia,,20.0
2015,"Women+, 18 to 64 years",Nova Scotia,,16.3
2015,"Women+, 65 years and over",Nova Scotia,,24.0
2015,All persons,New Brunswick,13,17.1
2015,Persons under 18 years,New Brunswick,,18.2
2015,Persons 18 to 64 years,New Brunswick,,15.7
2015,Persons 65 years and over,New Brunswick,,20.5
2015,Men+,New Brunswick,,16.7
2015,"Men+, under 18 years",New Brunswick,,19.3
2015,"Men+, 18 to 64 years",New Brunswick,,15.8
2015,"Men+, 65 years and over",New Brunswick,,17.2
2015,Women+,New Brunswick,,17.5
2015,"Women+, under 18 years",New Brunswick,,16.9
2015,"Women+, 18 to 64 years",New Brunswick,,15.7
2015,"Women+, 65 years and over",New Brunswick,,23.4
2015,All persons,Quebec,24,16.1
2015,Persons under 18 years,Quebec,,16.0
2015,Persons 18 to 64 years,Quebec,,15.5
2015,Persons 65 years and over,Quebec,,18.5
2015,Men+,Quebec,,15.3
2015,"Men+, under 18 years",Quebec,,15.4
2015,"Men+, 18 to 64 years",Quebec,,15.1
2015,"Men+, 65 years and over",Quebec,,15.8
2015,Women+,Quebec,,16.9
2015,"Women+, under 18 years",Quebec,,16.5
2015,"Women+, 18 to 64 years",Quebec,,15.9
2015,"Women+, 65 years and over",Quebec,,20.8
2015,All persons,Ontario,35,14.2
2015,Persons under 18 years,Ontario,,15.6
2015,Persons 18 to 64 years,Ontario,,14.1
2015,Persons 65 years and over,Ontario,,12.7
2015,Men+,Ontario,,13.7
2015,"Men+, under 18 years",Ontario,,16.5
2015,"Men+, 18 to 64 years",Ontario,,13.7
2015,"Men+, 65 years and over",Ontario,,10.2
2015,Women+,Ontario,,14.6
2015,"Women+, under 18 years",Ontario,,14.6
2015,"Women+, 18 to 64 years",Ontario,,14.5
2015,"Women+, 65 years and over",Ontario,,14.8
2015,All persons,Prairie provinces,,9.5
2015,Persons under 18 years,Prairie provinces,,14.1
2015,Persons 18 to 64 years,Prairie provinces,,8.3
2015,Persons 65 years and over,Prairie provinces,,8.0
2015,Men+,Prairie provinces,,9.1
2015,"Men+, under 18 years",Prairie provinces,,13.4
2015,"Men+, 18 to 64 years",Prairie provinces,,8.1
2015,"Men+, 65 years and over",Prairie provinces,,6.3
2015,Women+,Prairie provinces,,9.9
2015,"Women+, under 18 years",Prairie provinces,,15.0
2015,"Women+, 18 to 64 years",Prairie provinces,,8.4
2015,"Women+, 65 years and over",Prairie provinces,,9.4
2015,All persons,Manitoba,46,16.0
2015,Persons under 18 years,Manitoba,,23.1
2015,Persons 18 to 64 years,Manitoba,,14.1
2015,Persons 65 years and over,Manitoba,,13.4
2015,Men+,Manitoba,,16.4
2015,"Men+, under 18 years",Manitoba,,26.9
2015,"Men+, 18 to 64 years",Manitoba,,14.3
2015,"Men+, 65 years and over",Manitoba,,8.9
2015,Women+,Manitoba,,15.6
2015,"Women+, under 18 years",Manitoba,,19.3
2015,"Women+, 18 to 64 years",Manitoba,,13.9
2015,"Women+, 65 years and over",Manitoba,,17.2
2015,All persons,Saskatchewan,47,12.4
2015,Persons under 18 years,Saskatchewan,,17.8
2015,Persons 18 to 64 years,Saskatchewan,,10.4
2015,Persons 65 years and over,Saskatchewan,,12.6
2015,Men+,Saskatchewan,,10.9
2015,"Men+, under 18 years",Saskatchewan,,16.9
2015,"Men+, 18 to 64 years",Saskatchewan,,8.9
2015,"Men+, 65 years and over",Saskatchewan,,10.3
2015,Women+,Saskatchewan,,13.9
2015,"Women+, under 18 years",Saskatchewan,,18.6
2015,"Women+, 18 to 64 years",Saskatchewan,,12.0
2015,"Women+, 65 years and over",Saskatchewan,,14.6
2015,All persons,Alberta,48,6.9
2015,Persons under 18 years,Alberta,,10.5
2015,Persons 18 to 64 years,Alberta,,6.1
2015,Persons 65 years and over,Alberta,,4.3
2015,Men+,Alberta,,6.5
2015,"Men+, under 18 years",Alberta,,8.6
2015,"Men+, 18 to 64 years",Alberta,,6.2
2015,"Men+, 65 years and over",Alberta,,4.0
2015,Women+,Alberta,,7.2
2015,"Women+, under 18 years",Alberta,,12.6
2015,"Women+, 18 to 64 years",Alberta,,5.9
2015,"Women+, 65 years and over",Alberta,,4.6
2015,All persons,British Columbia,59,16.6
2015,Persons under 18 years,British Columbia,,14.1
2015,Persons 18 to 64 years,British Columbia,,17.7
2015,Persons 65 years and over,British Columbia,,15.0
2015,Men+,British Columbia,,16.4
2015,"Men+, under 18 years",British Columbia,,12.6
2015,"Men+, 18 to 64 years",British Columbia,,18.2
2015,"Men+, 65 years and over",British Columbia,,13.5
2015,Women+,British Columbia,,16.8
2015,"Women+, under 18 years",British Columbia,,15.7
2015,"Women+, 18 to 64 years",British Columbia,,17.3
2015,"Women+, 65 years and over",British Columbia,,16.4
2015,All persons,"Québec, Quebec",,10.2
2015,Persons 18 to 64 years,"Québec, Quebec",,9.2
2015,Persons 65 years and over,"Québec, Quebec",,17.8
2015,Men+,"Québec, Quebec",,10.6
2015,"Men+, 18 to 64 years","Québec, Quebec",,10.0
2015,"Men+, 65 years and over","Québec, Quebec",,15.6
2015,Women+,"Québec, Quebec",,9.8
2015,"Women+, 18 to 64 years","Québec, Quebec",,8.5
2015,"Women+, 65 years and over","Québec, Quebec",,19.5
2015,All persons,"Montréal, Quebec",,18.6
2015,Persons under 18 years,"Montréal, Quebec",,21.1
2015,Persons 18 to 64 years,"Montréal, Quebec",,18.6
2015,Persons 65 years and over,"Montréal, Quebec",,15.9
2015,Men+,"Montréal, Quebec",,17.9
2015,"Men+, under 18 years","Montréal, Quebec",,20.6
2015,"Men+, 18 to 64 years","Montréal, Quebec",,17.9
2015,"Men+, 65 years and over","Montréal, Quebec",,14.3
2015,Women+,"Montréal, Quebec",,19.3
2015,"Women+, under 18 years","Montréal, Quebec",,21.4
2015,"Women+, 18 to 64 years","Montréal, Quebec",,19.2
2015,"Women+, 65 years and over","Montréal, Quebec",,17.3
2015,All persons,"Ottawa-Gatineau, Ontario/Quebec",,10.7
2015,Persons under 18 years,"Ottawa-Gatineau, Ontario/Quebec",,10.5
2015,Persons 18 to 64 years,"Ottawa-Gatineau, Ontario/Quebec",,11.3
2015,Persons 65 years and over,"Ottawa-Gatineau, Ontario/Quebec",,8.3
2015,Men+,"Ottawa-Gatineau, Ontario/Quebec",,9.8
2015,"Men+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,10.5
2015,Women+,"Ottawa-Gatineau, Ontario/Quebec",,11.6
2015,"Women+, 18 to 64 years","Ottawa-Gatineau, Ontario/Quebec",,12.0
2015,"Women+, 65 years and over","Ottawa-Gatineau, Ontario/Quebec",,8.8
2015,All persons,"Toronto, Ontario",,16.3
2015,Persons under 18 years,"Toronto, Ontario",,18.5
2015,Persons 18 to 64 years,"Toronto, Ontario",,15.6
2015,Persons 65 years and over,"Toronto, Ontario",,16.0
2015,Men+,"Toronto, Ontario",,15.9
2015,"Men+, under 18 years","Toronto, Ontario",,20.1
2015,"Men+, 18 to 64 years","Toronto, Ontario",,15.0
2015,"Men+, 65 years and over","Toronto, Ontario",,13.1
2015,Women+,"Toronto, Ontario",,16.6
2015,"Women+, under 18 years","Toronto, Ontario",,16.9
2015,"Women+, 18 to 64 years","Toronto, Ontario",,16.1
2015,"Women+, 65 years and over","Toronto, Ontario",,18.4
2015,All persons,"Winnipeg, Manitoba",,16.4
2015,Persons under 18 years,"Winnipeg, Manitoba",,23.9
2015,Persons 18 to 64 years,"Winnipeg, Manitoba",,15.2
2015,Persons 65 years and over,"Winnipeg, Manitoba",,10.9
2015,Men+,"Winnipeg, Manitoba",,16.3
2015,"Men+, under 18 years","Winnipeg, Manitoba",,28.4
2015,"Men+, 18 to 64 years","Winnipeg, Manitoba",,14.6
2015,"Men+, 65 years and over","Winnipeg, Manitoba",,4.9
2015,Women+,"Winnipeg, Manitoba",,16.6
2015,"Women+, under 18 years","Winnipeg, Manitoba",,19.6
2015,"Women+, 18 to 64 years","Winnipeg, Manitoba",,15.7
2015,"Women+, 65 years and over","Winnipeg, Manitoba",,15.7
2015,All persons,"Calgary, Alberta",,7.5
2015,Persons 18 to 64 years,"Calgary, Alberta",,6.4
2015,Persons 65 years and over,"Calgary, Alberta",,5.6
2015,Men+,"Calgary, Alberta",,7.3
2015,"Men+, 18 to 64 years","Calgary, Alberta",,6.9
2015,Women+,"Calgary, Alberta",,7.7
2015,"Women+, 18 to 64 years","Calgary, Alberta",,5.8
2015,All persons,"Edmonton, Alberta",,6.7
2015,Persons under 18 years,"Edmonton, Alberta",,11.1
2015,Persons 18 to 64 years,"Edmonton, Alberta",,6.0
2015,Men+,"Edmonton, Alberta",,6.5
2015,"Men+, 18 to 64 years","Edmonton, Alberta",,6.5
2015,Women+,"Edmonton, Alberta",,6.9
2015,"Women+, 18 to 64 years","Edmonton, Alberta",,5.5
2015,All persons,"Vancouver, British Columbia",,17.0
2015,Persons under 18 years,"Vancouver, British Columbia",,15.3
2015,Persons 18 to 64 years,"Vancouver, British Columbia",,17.6
2015,Persons 65 years and over,"Vancouver, British Columbia",,16.7
2015,Men+,"Vancouver, British Columbia",,17.1
