Year,Household food security status,Geography,Gender,Age group,Economic family type,Visible minority,Indigenous population,GeoCode,Value
2018,Food secure,Canada,All genders,,All persons,,,,83.2
2018,Food insecure,Canada,All genders,,All persons,,,,16.8
2018,"Food insecure, marginal",Canada,All genders,,All persons,,,,5.2
2018,,,,,,,,,11.7
2018,"Food insecure, moderate",Canada,All genders,,All persons,,,,8.0
2018,"Food insecure, severe",Canada,All genders,,All persons,,,,3.6
2018,Food secure,Canada,All genders,,Persons in economic families,,,,83.9
2018,Food insecure,Canada,All genders,,Persons in economic families,,,,16.1
2018,"Food insecure, marginal",Canada,All genders,,Persons in economic families,,,,5.2
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in economic families,,,,10.9
2018,"Food insecure, moderate",Canada,All genders,,Persons in economic families,,,,7.9
2018,"Food insecure, severe",Canada,All genders,,Persons in economic families,,,,3.0
2018,Food secure,Canada,All genders,,Persons in senior families,,,,92.9
2018,Food insecure,Canada,All genders,,Persons in senior families,,,,7.1
2018,"Food insecure, marginal",Canada,All genders,,Persons in senior families,,,,2.7
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in senior families,,,,4.4
2018,"Food insecure, moderate",Canada,All genders,,Persons in senior families,,,,3.0
2018,"Food insecure, severe",Canada,All genders,,Persons in senior families,,,,1.5
2018,Food secure,Canada,All genders,,Persons in senior couples,,,,95.1
2018,Food insecure,Canada,All genders,,Persons in senior couples,,,,4.9
2018,"Food insecure, marginal",Canada,All genders,,Persons in senior couples,,,,2.0
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in senior couples,,,,2.9
2018,"Food insecure, moderate",Canada,All genders,,Persons in senior couples,,,,2.1
2018,"Food insecure, severe",Canada,All genders,,Persons in senior couples,,,,0.8
2018,Food secure,Canada,All genders,,Persons in other senior families,,,,87.5
2018,Food insecure,Canada,All genders,,Persons in other senior families,,,,12.5
2018,"Food insecure, marginal",Canada,All genders,,Persons in other senior families,,,,4.3
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in other senior families,,,,8.2
2018,"Food insecure, moderate",Canada,All genders,,Persons in other senior families,,,,5.2
2018,"Food insecure, severe",Canada,All genders,,Persons in other senior families,,,,3.0
2018,Food secure,Canada,All genders,,Persons in non-senior families,,,,82.4
2018,Food insecure,Canada,All genders,,Persons in non-senior families,,,,17.6
2018,"Food insecure, marginal",Canada,All genders,,Persons in non-senior families,,,,5.6
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in non-senior families,,,,12.0
2018,"Food insecure, moderate",Canada,All genders,,Persons in non-senior families,,,,8.8
2018,"Food insecure, severe",Canada,All genders,,Persons in non-senior families,,,,3.2
2018,Food secure,Canada,All genders,,Persons in couples,,,,88.5
2018,Food insecure,Canada,All genders,,Persons in couples,,,,11.5
2018,"Food insecure, marginal",Canada,All genders,,Persons in couples,,,,3.8
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in couples,,,,7.6
2018,"Food insecure, moderate",Canada,All genders,,Persons in couples,,,,4.7
2018,"Food insecure, severe",Canada,All genders,,Persons in couples,,,,2.9
2018,Food secure,Canada,All genders,,Persons in couple families with children,,,,82.1
2018,Food insecure,Canada,All genders,,Persons in couple families with children,,,,17.9
2018,"Food insecure, marginal",Canada,All genders,,Persons in couple families with children,,,,6.6
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in couple families with children,,,,11.3
2018,"Food insecure, moderate",Canada,All genders,,Persons in couple families with children,,,,8.9
2018,"Food insecure, severe",Canada,All genders,,Persons in couple families with children,,,,2.3
2018,Food secure,Canada,All genders,,Persons in couple families with other relatives,,,,89.1
2018,Food insecure,Canada,All genders,,Persons in couple families with other relatives,,,,10.9
2018,"Food insecure, marginal",Canada,All genders,,Persons in couple families with other relatives,,,,2.7
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in couple families with other relatives,,,,8.2
2018,"Food insecure, moderate",Canada,All genders,,Persons in couple families with other relatives,,,,6.6
2018,"Food insecure, severe",Canada,All genders,,Persons in couple families with other relatives,,,,1.6
2018,Food secure,Canada,All genders,,Persons in one-parent families,,,,58.2
2018,Food insecure,Canada,All genders,,Persons in one-parent families,,,,41.8
2018,"Food insecure, marginal",Canada,All genders,,Persons in one-parent families,,,,9.4
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in one-parent families,,,,32.4
2018,"Food insecure, moderate",Canada,All genders,,Persons in one-parent families,,,,21.4
2018,"Food insecure, severe",Canada,All genders,,Persons in one-parent families,,,,11.0
2018,Food secure,Canada,Man+,,Persons in one-parent families where the parent is a man+,,,,70.0
2018,Food insecure,Canada,Man+,,Persons in one-parent families where the parent is a man+,,,,30.0
2018,"Food insecure, marginal",Canada,Man+,,Persons in one-parent families where the parent is a man+,,,,6.8
2018,"Food insecure, moderate or severe",Canada,Man+,,Persons in one-parent families where the parent is a man+,,,,23.3
2018,"Food insecure, moderate",Canada,Man+,,Persons in one-parent families where the parent is a man+,,,,17.2
2018,"Food insecure, severe",Canada,Man+,,Persons in one-parent families where the parent is a man+,,,,6.0
2018,Food secure,Canada,Woman+,,Persons in one-parent families where the parent is a woman+,,,,55.8
2018,Food insecure,Canada,Woman+,,Persons in one-parent families where the parent is a woman+,,,,44.2
2018,"Food insecure, marginal",Canada,Woman+,,Persons in one-parent families where the parent is a woman+,,,,9.9
2018,"Food insecure, moderate or severe",Canada,Woman+,,Persons in one-parent families where the parent is a woman+,,,,34.2
2018,"Food insecure, moderate",Canada,Woman+,,Persons in one-parent families where the parent is a woman+,,,,22.2
2018,"Food insecure, severe",Canada,Woman+,,Persons in one-parent families where the parent is a woman+,,,,12.0
2018,Food secure,Canada,All genders,,Persons in other non-senior families,,,,78.4
2018,Food insecure,Canada,All genders,,Persons in other non-senior families,,,,21.6
2018,"Food insecure, marginal",Canada,All genders,,Persons in other non-senior families,,,,5.8
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons in other non-senior families,,,,15.9
2018,"Food insecure, moderate",Canada,All genders,,Persons in other non-senior families,,,,10.4
2018,"Food insecure, severe",Canada,All genders,,Persons in other non-senior families,,,,5.5
2018,Food secure,Canada,All genders,,Persons not in an economic family,,,,79.7
2018,Food insecure,Canada,All genders,,Persons not in an economic family,,,,20.3
2018,"Food insecure, marginal",Canada,All genders,,Persons not in an economic family,,,,4.9
2018,"Food insecure, moderate or severe",Canada,All genders,,Persons not in an economic family,,,,15.3
2018,"Food insecure, moderate",Canada,All genders,,Persons not in an economic family,,,,8.4
2018,"Food insecure, severe",Canada,All genders,,Persons not in an economic family,,,,7.0
2018,Food secure,Canada,All genders,,Seniors not in an economic family,,,,89.5
2018,Food insecure,Canada,All genders,,Seniors not in an economic family,,,,10.5
2018,"Food insecure, marginal",Canada,All genders,,Seniors not in an economic family,,,,3.6
2018,"Food insecure, moderate or severe",Canada,All genders,,Seniors not in an economic family,,,,7.0
2018,"Food insecure, moderate",Canada,All genders,,Seniors not in an economic family,,,,4.8
2018,"Food insecure, severe",Canada,All genders,,Seniors not in an economic family,,,,2.2
2018,Food secure,Canada,Man+,,Senior men+ not in an economic family,,,,87.2
2018,Food insecure,Canada,Man+,,Senior men+ not in an economic family,,,,12.8
2018,"Food insecure, marginal",Canada,Man+,,Senior men+ not in an economic family,,,,3.4
2018,"Food insecure, moderate or severe",Canada,Man+,,Senior men+ not in an economic family,,,,9.4
2018,"Food insecure, moderate",Canada,Man+,,Senior men+ not in an economic family,,,,6.2
2018,"Food insecure, severe",Canada,Man+,,Senior men+ not in an economic family,,,,3.3
2018,Food secure,Canada,Woman+,,Senior women+ not in an economic family,,,,90.7
2018,Food insecure,Canada,Woman+,,Senior women+ not in an economic family,,,,9.3
2018,"Food insecure, marginal",Canada,Woman+,,Senior women+ not in an economic family,,,,3.7
2018,"Food insecure, moderate or severe",Canada,Woman+,,Senior women+ not in an economic family,,,,5.6
2018,"Food insecure, moderate",Canada,Woman+,,Senior women+ not in an economic family,,,,4.1
2018,"Food insecure, severe",Canada,Woman+,,Senior women+ not in an economic family,,,,1.6
2018,Food secure,Canada,All genders,,Non-seniors not in an economic family,,,,75.5
2018,Food insecure,Canada,All genders,,Non-seniors not in an economic family,,,,24.5
2018,"Food insecure, marginal",Canada,All genders,,Non-seniors not in an economic family,,,,5.5
2018,"Food insecure, moderate or severe",Canada,All genders,,Non-seniors not in an economic family,,,,18.9
2018,"Food insecure, moderate",Canada,All genders,,Non-seniors not in an economic family,,,,9.9
2018,"Food insecure, severe",Canada,All genders,,Non-seniors not in an economic family,,,,9.1
2018,Food secure,Canada,Man+,,Non-senior men+ not in an economic family,,,,75.5
2018,Food insecure,Canada,Man+,,Non-senior men+ not in an economic family,,,,24.5
2018,"Food insecure, marginal",Canada,Man+,,Non-senior men+ not in an economic family,,,,5.8
2018,"Food insecure, moderate or severe",Canada,Man+,,Non-senior men+ not in an economic family,,,,18.7
2018,"Food insecure, moderate",Canada,Man+,,Non-senior men+ not in an economic family,,,,9.0
2018,"Food insecure, severe",Canada,Man+,,Non-senior men+ not in an economic family,,,,9.7
2018,Food secure,Canada,Woman+,,Non-senior women+ not in an economic family,,,,75.6
2018,Food insecure,Canada,Woman+,,Non-senior women+ not in an economic family,,,,24.4
