Year,Size,Characteristics,Value
2001,Small-scale food producers,Total,"8,466"
2006,Small-scale food producers,Total,"8,414"
2011,Small-scale food producers,Total,"9,044"
2016,Small-scale food producers,Total,"12,337"
2021,Small-scale food producers,Total,"14,745"
2001,Small-scale food producers,Male,"9,538"
2006,Small-scale food producers,Male,"9,472"
2011,Small-scale food producers,Male,"10,157"
2016,Small-scale food producers,Male,"13,877"
2021,Small-scale food producers,Male,"16,371"
2001,Small-scale food producers,Female,"5,882"
2006,Small-scale food producers,Female,"6,045"
2011,Small-scale food producers,Female,"6,580"
2016,Small-scale food producers,Female,"9,227"
2021,Small-scale food producers,Female,"11,653"
2001,Small-scale food producers,Under 35 years,"8,068"
2006,Small-scale food producers,Under 35 years,"7,988"
2011,Small-scale food producers,Under 35 years,"8,472"
2016,Small-scale food producers,Under 35 years,"11,653"
2021,Small-scale food producers,Under 35 years,"15,645"
2001,Small-scale food producers,35 to 54 years,"8,135"
2006,Small-scale food producers,35 to 54 years,"8,100"
2011,Small-scale food producers,35 to 54 years,"8,768"
2016,Small-scale food producers,35 to 54 years,"11,628"
2021,Small-scale food producers,35 to 54 years,"14,172"
2001,Small-scale food producers,55 years and over,"8,962"
2006,Small-scale food producers,55 years and over,"8,790"
2011,Small-scale food producers,55 years and over,"9,298"
2016,Small-scale food producers,55 years and over,"12,808"
2021,Small-scale food producers,55 years and over,"14,873"
2001,Medium-Large scale food producers,Total,"208,074"
2006,Medium-Large scale food producers,Total,"247,326"
2011,Medium-Large scale food producers,Total,"345,676"
2016,Medium-Large scale food producers,Total,"513,857"
2021,Medium-Large scale food producers,Total,"667,966"
2001,Medium-Large scale food producers,Male,"236,175"
2006,Medium-Large scale food producers,Male,"283,770"
2011,Medium-Large scale food producers,Male,"400,924"
2016,Medium-Large scale food producers,Male,"590,083"
2021,Medium-Large scale food producers,Male,"768,217"
2001,Medium-Large scale food producers,Female,"121,400"
2006,Medium-Large scale food producers,Female,"142,782"
2011,Medium-Large scale food producers,Female,"181,330"
2016,Medium-Large scale food producers,Female,"295,356"
2021,Medium-Large scale food producers,Female,"404,423"
2001,Medium-Large scale food producers,Under 35 years,"164,324"
2006,Medium-Large scale food producers,Under 35 years,"200,479"
2011,Medium-Large scale food producers,Under 35 years,"284,951"
2016,Medium-Large scale food producers,Under 35 years,"409,277"
2021,Medium-Large scale food producers,Under 35 years,"527,310"
2001,Medium-Large scale food producers,35 to 54 years,"243,097"
2006,Medium-Large scale food producers,35 to 54 years,"286,777"
2011,Medium-Large scale food producers,35 to 54 years,"411,485"
2016,Medium-Large scale food producers,35 to 54 years,"547,961"
2021,Medium-Large scale food producers,35 to 54 years,"782,253"
2001,Medium-Large scale food producers,55 years and over,"162,381"
2006,Medium-Large scale food producers,55 years and over,"203,285"
2011,Medium-Large scale food producers,55 years and over,"288,523"
2016,Medium-Large scale food producers,55 years and over,"508,362"
2021,Medium-Large scale food producers,55 years and over,"622,965"
2001,,,"131,840"
2006,,,"155,771"
2011,,,"216,729"
2016,,,"319,872"
2021,,,"398,271"
2001,Total,Male,"153,143"
2006,Total,Male,"183,163"
2011,Total,Male,"258,834"
2016,Total,Male,"381,125"
2021,Total,Male,"475,954"
2001,Total,Female,"72,257"
2006,Total,Female,"84,538"
2011,Total,Female,"105,415"
2016,Total,Female,"167,494"
2021,Total,Female,"220,446"
2001,Total,Under 35 years,"112,463"
2006,Total,Under 35 years,"138,425"
2011,Total,Under 35 years,"204,596"
2016,Total,Under 35 years,"278,230"
2021,Total,Under 35 years,"355,616"
2001,Total,35 to 54 years,"160,692"
2006,Total,35 to 54 years,"189,894"
2011,Total,35 to 54 years,"275,738"
2016,Total,35 to 54 years,"363,363"
2021,Total,35 to 54 years,"512,631"
2001,Total,55 years and over,"93,890"
2006,Total,55 years and over,"117,549"
2011,Total,55 years and over,"165,613"
2016,Total,55 years and over,"297,855"
2021,Total,55 years and over,"345,984"
