Year,Geography,Age,Value
2015,,,9.4
2016,,,8.4
2017,,,7.8
2018,,,6.7
2019,,,6.2
2020,,,5.5
2015,Canada,Females 15 to 19 years,9.4
2015,Newfoundland and Labrador,Females 15 to 19 years,11.2
2015,Prince Edward Island,Females 15 to 19 years,10.2
2015,Nova Scotia,Females 15 to 19 years,12.9
2015,New Brunswick,Females 15 to 19 years,15.2
2015,Quebec,Females 15 to 19 years,7.2
2015,Ontario,Females 15 to 19 years,7.1
2015,Manitoba,Females 15 to 19 years,22.0
2015,Saskatchewan,Females 15 to 19 years,25.1
2015,Alberta,Females 15 to 19 years,12.8
2015,British Columbia,Females 15 to 19 years,6.2
2015,Yukon,Females 15 to 19 years,10.0
2015,Northwest Territories,Females 15 to 19 years,32.1
2015,Nunavut,Females 15 to 19 years,107.0
2016,Canada,Females 15 to 19 years,8.4
2016,Newfoundland and Labrador,Females 15 to 19 years,12.5
2016,Prince Edward Island,Females 15 to 19 years,8.0
2016,Nova Scotia,Females 15 to 19 years,11.4
2016,New Brunswick,Females 15 to 19 years,12.1
2016,Quebec,Females 15 to 19 years,6.6
2016,Ontario,Females 15 to 19 years,6.1
2016,Manitoba,Females 15 to 19 years,20.6
2016,Saskatchewan,Females 15 to 19 years,23.6
2016,Alberta,Females 15 to 19 years,11.0
2016,British Columbia,Females 15 to 19 years,5.3
2016,Yukon,Females 15 to 19 years,7.0
2016,Northwest Territories,Females 15 to 19 years,24.6
2016,Nunavut,Females 15 to 19 years,104.0
2017,Canada,Females 15 to 19 years,7.8
2017,Newfoundland and Labrador,Females 15 to 19 years,11.0
2017,Prince Edward Island,Females 15 to 19 years,8.9
2017,Nova Scotia,Females 15 to 19 years,11.3
2017,New Brunswick,Females 15 to 19 years,12.5
2017,Quebec,Females 15 to 19 years,6.2
2017,Ontario,Females 15 to 19 years,5.8
2017,Manitoba,Females 15 to 19 years,18.6
2017,Saskatchewan,Females 15 to 19 years,20.8
2017,Alberta,Females 15 to 19 years,9.9
2017,British Columbia,Females 15 to 19 years,4.7
2017,Northwest Territories,Females 15 to 19 years,32.6
2017,Nunavut,Females 15 to 19 years,97.8
2018,Canada,Females 15 to 19 years,6.7
2018,Newfoundland and Labrador,Females 15 to 19 years,10.0
2018,Prince Edward Island,Females 15 to 19 years,6.8
2018,Nova Scotia,Females 15 to 19 years,8.4
2018,New Brunswick,Females 15 to 19 years,10.7
2018,Quebec,Females 15 to 19 years,5.6
2018,Ontario,Females 15 to 19 years,4.7
2018,Manitoba,Females 15 to 19 years,17.6
2018,Saskatchewan,Females 15 to 19 years,19.9
2018,Alberta,Females 15 to 19 years,8.2
2018,British Columbia,Females 15 to 19 years,3.7
2018,Northwest Territories,Females 15 to 19 years,28.3
2018,Nunavut,Females 15 to 19 years,99.9
2019,Canada,Females 15 to 19 years,6.2
2019,Newfoundland and Labrador,Females 15 to 19 years,8.6
2019,Prince Edward Island,Females 15 to 19 years,6.2
2019,Nova Scotia,Females 15 to 19 years,9.3
2019,New Brunswick,Females 15 to 19 years,10.0
2019,Quebec,Females 15 to 19 years,5.5
2019,Ontario,Females 15 to 19 years,4.4
2019,Manitoba,Females 15 to 19 years,16.0
2019,Saskatchewan,Females 15 to 19 years,18.3
2019,Alberta,Females 15 to 19 years,6.9
2019,British Columbia,Females 15 to 19 years,3.7
2019,Northwest Territories,Females 15 to 19 years,23.7
2019,Nunavut,Females 15 to 19 years,92.5
2020,Canada,Females 15 to 19 years,5.5
2020,Newfoundland and Labrador,Females 15 to 19 years,6.4
2020,Prince Edward Island,Females 15 to 19 years,5.9
2020,Nova Scotia,Females 15 to 19 years,7.4
2020,New Brunswick,Females 15 to 19 years,8.6
2020,Quebec,Females 15 to 19 years,5.2
2020,Ontario,Females 15 to 19 years,3.8
2020,Manitoba,Females 15 to 19 years,12.1
2020,Saskatchewan,Females 15 to 19 years,16.7
2020,Alberta,Females 15 to 19 years,6.6
2020,British Columbia,Females 15 to 19 years,3.5
2020,Northwest Territories,Females 15 to 19 years,17.9
2020,Nunavut,Females 15 to 19 years,86.0
