Year,Geography,Type of dwelling,Energy type,GeoCode,Value
2015,,,,,92.5
2019,,,,,90.5
2015,Canada,Single-detached,"Total, all energy types",,112.2
2015,Canada,Single-detached,Electricity,,47.8
2015,Canada,Single-detached,Natural gas,,93.8
2015,Canada,Single-detached,Heating oil,,67.6
2015,Canada,Double,"Total, all energy types",,96.7
2015,Canada,Double,Electricity,,48.0
2015,Canada,Double,Natural gas,,85.1
2015,Canada,Double,Heating oil,,
2015,Canada,Row or terrace,"Total, all energy types",,80.8
2015,Canada,Row or terrace,Electricity,,33.0
2015,Canada,Row or terrace,Natural gas,,67.3
2015,Canada,Row or terrace,Heating oil,,
2015,Canada,Duplex,"Total, all energy types",,86.5
2015,Canada,Duplex,Electricity,,43.4
2015,Canada,Duplex,Natural gas,,73.3
2015,Canada,Duplex,Heating oil,,58.0
2015,Canada,Low-rise apartment (fewer than 5 stories),"Total, all energy types",,47.1
2015,Canada,Low-rise apartment (fewer than 5 stories),Electricity,,28.9
2015,Canada,Low-rise apartment (fewer than 5 stories),Natural gas,,71.6
2015,Canada,Low-rise apartment (fewer than 5 stories),Heating oil,,55.4
2015,Canada,High-rise apartment (5 stories or more),"Total, all energy types",,37.1
2015,Canada,High-rise apartment (5 stories or more),Electricity,,23.8
2015,Canada,High-rise apartment (5 stories or more),Natural gas,,72.8
2015,Canada,High-rise apartment (5 stories or more),Heating oil,,
2015,Canada,Mobile home,"Total, all energy types",,79.8
2015,Canada,Mobile home,Electricity,,34.2
2015,Canada,Mobile home,Natural gas,,82.8
2015,Canada,Mobile home,Heating oil,,
2015,Newfoundland and Labrador,Single-detached,"Total, all energy types",10,86.9
2015,Newfoundland and Labrador,Single-detached,Electricity,10,63.9
2015,Newfoundland and Labrador,Single-detached,Natural gas,10,
2015,Newfoundland and Labrador,Single-detached,Heating oil,10,98.0
2015,Newfoundland and Labrador,Double,"Total, all energy types",10,
2015,Newfoundland and Labrador,Double,Electricity,10,
2015,Newfoundland and Labrador,Double,Natural gas,10,
2015,Newfoundland and Labrador,Double,Heating oil,10,
2015,Newfoundland and Labrador,Row or terrace,"Total, all energy types",10,
2015,Newfoundland and Labrador,Row or terrace,Electricity,10,
2015,Newfoundland and Labrador,Row or terrace,Natural gas,10,
2015,Newfoundland and Labrador,Row or terrace,Heating oil,10,
2015,Newfoundland and Labrador,Duplex,"Total, all energy types",10,
2015,Newfoundland and Labrador,Duplex,Electricity,10,
2015,Newfoundland and Labrador,Duplex,Natural gas,10,
2015,Newfoundland and Labrador,Duplex,Heating oil,10,
2015,Newfoundland and Labrador,Low-rise apartment (fewer than 5 stories),"Total, all energy types",10,
2015,Newfoundland and Labrador,Low-rise apartment (fewer than 5 stories),Electricity,10,
2015,Newfoundland and Labrador,Low-rise apartment (fewer than 5 stories),Natural gas,10,
2015,Newfoundland and Labrador,Low-rise apartment (fewer than 5 stories),Heating oil,10,
2015,Newfoundland and Labrador,High-rise apartment (5 stories or more),"Total, all energy types",10,
2015,Newfoundland and Labrador,High-rise apartment (5 stories or more),Electricity,10,
2015,Newfoundland and Labrador,High-rise apartment (5 stories or more),Natural gas,10,
2015,Newfoundland and Labrador,High-rise apartment (5 stories or more),Heating oil,10,
2015,Newfoundland and Labrador,Mobile home,"Total, all energy types",10,
2015,Newfoundland and Labrador,Mobile home,Electricity,10,
2015,Newfoundland and Labrador,Mobile home,Natural gas,10,
2015,Newfoundland and Labrador,Mobile home,Heating oil,10,
2015,Prince Edward Island,Single-detached,"Total, all energy types",11,113.0
2015,Prince Edward Island,Single-detached,Electricity,11,43.2
2015,Prince Edward Island,Single-detached,Natural gas,11,
2015,Prince Edward Island,Single-detached,Heating oil,11,82.4
2015,Prince Edward Island,Double,"Total, all energy types",11,
2015,Prince Edward Island,Double,Electricity,11,
2015,Prince Edward Island,Double,Natural gas,11,
2015,Prince Edward Island,Double,Heating oil,11,
2015,Prince Edward Island,Row or terrace,"Total, all energy types",11,
2015,Prince Edward Island,Row or terrace,Electricity,11,
2015,Prince Edward Island,Row or terrace,Natural gas,11,
2015,Prince Edward Island,Row or terrace,Heating oil,11,
2015,Prince Edward Island,Duplex,"Total, all energy types",11,
2015,Prince Edward Island,Duplex,Electricity,11,
2015,Prince Edward Island,Duplex,Natural gas,11,
2015,Prince Edward Island,Duplex,Heating oil,11,
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),"Total, all energy types",11,79.4
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Electricity,11,24.0
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Natural gas,11,
2015,Prince Edward Island,Low-rise apartment (fewer than 5 stories),Heating oil,11,
2015,Prince Edward Island,High-rise apartment (5 stories or more),"Total, all energy types",11,
2015,Prince Edward Island,High-rise apartment (5 stories or more),Electricity,11,
2015,Prince Edward Island,High-rise apartment (5 stories or more),Natural gas,11,
2015,Prince Edward Island,High-rise apartment (5 stories or more),Heating oil,11,
2015,Prince Edward Island,Mobile home,"Total, all energy types",11,
2015,Prince Edward Island,Mobile home,Electricity,11,
2015,Prince Edward Island,Mobile home,Natural gas,11,
2015,Prince Edward Island,Mobile home,Heating oil,11,
2015,Nova Scotia,Single-detached,"Total, all energy types",12,98.0
2015,Nova Scotia,Single-detached,Electricity,12,41.2
2015,Nova Scotia,Single-detached,Natural gas,12,
2015,Nova Scotia,Single-detached,Heating oil,12,97.1
2015,Nova Scotia,Double,"Total, all energy types",12,
2015,Nova Scotia,Double,Electricity,12,
2015,Nova Scotia,Double,Natural gas,12,
2015,Nova Scotia,Double,Heating oil,12,
2015,Nova Scotia,Row or terrace,"Total, all energy types",12,
2015,Nova Scotia,Row or terrace,Electricity,12,
2015,Nova Scotia,Row or terrace,Natural gas,12,
2015,Nova Scotia,Row or terrace,Heating oil,12,
2015,Nova Scotia,Duplex,"Total, all energy types",12,
2015,Nova Scotia,Duplex,Electricity,12,
2015,Nova Scotia,Duplex,Natural gas,12,
2015,Nova Scotia,Duplex,Heating oil,12,
2015,Nova Scotia,Low-rise apartment (fewer than 5 stories),"Total, all energy types",12,57.3
2015,Nova Scotia,Low-rise apartment (fewer than 5 stories),Electricity,12,17.8
2015,Nova Scotia,Low-rise apartment (fewer than 5 stories),Natural gas,12,
2015,Nova Scotia,Low-rise apartment (fewer than 5 stories),Heating oil,12,
2015,Nova Scotia,High-rise apartment (5 stories or more),"Total, all energy types",12,
2015,Nova Scotia,High-rise apartment (5 stories or more),Electricity,12,
2015,Nova Scotia,High-rise apartment (5 stories or more),Natural gas,12,
2015,Nova Scotia,High-rise apartment (5 stories or more),Heating oil,12,
2015,Nova Scotia,Mobile home,"Total, all energy types",12,
2015,Nova Scotia,Mobile home,Electricity,12,
2015,Nova Scotia,Mobile home,Natural gas,12,
2015,Nova Scotia,Mobile home,Heating oil,12,
2015,New Brunswick,Single-detached,"Total, all energy types",13,80.8
2015,New Brunswick,Single-detached,Electricity,13,68.9
2015,New Brunswick,Single-detached,Natural gas,13,
2015,New Brunswick,Single-detached,Heating oil,13,79.0
2015,New Brunswick,Double,"Total, all energy types",13,
2015,New Brunswick,Double,Electricity,13,
2015,New Brunswick,Double,Natural gas,13,
2015,New Brunswick,Double,Heating oil,13,
2015,New Brunswick,Row or terrace,"Total, all energy types",13,
2015,New Brunswick,Row or terrace,Electricity,13,
2015,New Brunswick,Row or terrace,Natural gas,13,
2015,New Brunswick,Row or terrace,Heating oil,13,
2015,New Brunswick,Duplex,"Total, all energy types",13,
