Year,Series,Basic services,Proficiency level,Units,Sex,Geography,Sources of waste for disposal,GeoCode,Value
2000,Access to basic drinking water services,,,Percentage (%),,,,,98.2
2001,Access to basic drinking water services,,,Percentage (%),,,,,98.2
2002,Access to basic drinking water services,,,Percentage (%),,,,,98.2
2003,Access to basic drinking water services,,,Percentage (%),,,,,98.2
2004,Access to basic drinking water services,,,Percentage (%),,,,,98.2
2005,Access to basic drinking water services,,,Percentage (%),,,,,98.2
2006,Access to basic drinking water services,,,Percentage (%),,,,,98.3
2007,Access to basic drinking water services,,,Percentage (%),,,,,98.4
2008,Access to basic drinking water services,,,Percentage (%),,,,,98.4
2009,Access to basic drinking water services,,,Percentage (%),,,,,98.5
2010,Access to basic drinking water services,,,Percentage (%),,,,,98.5
2011,Access to basic drinking water services,,,Percentage (%),,,,,98.6
2012,Access to basic drinking water services,,,Percentage (%),,,,,98.7
2013,Access to basic drinking water services,,,Percentage (%),,,,,98.7
2014,Access to basic drinking water services,,,Percentage (%),,,,,98.8
2015,Access to basic drinking water services,,,Percentage (%),,,,,98.8
2016,Access to basic drinking water services,,,Percentage (%),,,,,98.9
2017,Access to basic drinking water services,,,Percentage (%),,,,,98.9
2018,Access to basic drinking water services,,,Percentage (%),,,,,99.0
2019,Access to basic drinking water services,,,Percentage (%),,,,,99.0
2020,Access to basic drinking water services,,,Percentage (%),,,,,99.0
2021,Access to basic drinking water services,,,Percentage (%),,,,,99.0
2022,Access to basic drinking water services,,,Percentage (%),,,,,99.0
2000,Access to basic sanitation services,,,Percentage (%),,,,,77.4
2001,Access to basic sanitation services,,,Percentage (%),,,,,77.4
2002,Access to basic sanitation services,,,Percentage (%),,,,,77.4
2003,Access to basic sanitation services,,,Percentage (%),,,,,77.8
2004,Access to basic sanitation services,,,Percentage (%),,,,,78.3
2005,Access to basic sanitation services,,,Percentage (%),,,,,78.7
2006,Access to basic sanitation services,,,Percentage (%),,,,,79.2
2007,Access to basic sanitation services,,,Percentage (%),,,,,79.6
2008,Access to basic sanitation services,,,Percentage (%),,,,,79.9
2009,Access to basic sanitation services,,,Percentage (%),,,,,80.3
2010,Access to basic sanitation services,,,Percentage (%),,,,,80.7
2011,Access to basic sanitation services,,,Percentage (%),,,,,81.1
2012,Access to basic sanitation services,,,Percentage (%),,,,,81.4
2013,Access to basic sanitation services,,,Percentage (%),,,,,81.8
2014,Access to basic sanitation services,,,Percentage (%),,,,,82.2
2015,Access to basic sanitation services,,,Percentage (%),,,,,82.6
2016,Access to basic sanitation services,,,Percentage (%),,,,,82.9
2017,Access to basic sanitation services,,,Percentage (%),,,,,83.3
2018,Access to basic sanitation services,,,Percentage (%),,,,,83.7
2019,Access to basic sanitation services,,,Percentage (%),,,,,84.1
2020,Access to basic sanitation services,,,Percentage (%),,,,,84.0
2021,Access to basic sanitation services,,,Percentage (%),,,,,83.9
2022,Access to basic sanitation services,,,Percentage (%),,,,,83.9
2015,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2016,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2017,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2018,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2019,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2020,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2021,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2022,Access to clean fuels and technology,,,Percentage (%),,,,,100.0
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,,,,97.7
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Newfoundland and Labrador,,10,96.1
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Prince Edward Island,,11,99.9
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Nova Scotia,,12,97.7
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,New Brunswick,,13,97.1
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Quebec,,24,98.0
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Ontario,,35,98.8
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Manitoba,,46,97.2
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Saskatchewan,,47,98.2
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Alberta,,48,98.0
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,British Columbia,,59,95.0
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Yukon,,60,88.2
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Northwest Territories,,61,91.8
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Nunavut,,62,82.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,,,,75.1
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,Newfoundland and Labrador,,10,26.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"St. John's, Newfoundland and Labrador",,,59.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,Prince Edward Island,,11,16.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,Nova Scotia,,12,37.6
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Halifax, Nova Scotia",,,70.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,New Brunswick,,13,28.8
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Moncton, New Brunswick",,,65.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saint John, New Brunswick",,,49.1
