Year,Units,Value
2008,,6
2009,,9
2010,,8
2011,,9
2012,,9
2013,,9
2014,,9
2015,,9
2016,,8
2017,,10
2018,,8
2019,,8
2020,,6
2021,,6
2008,data.Tourism Satellite Account (TSA) ,6
2009,data.Tourism Satellite Account (TSA) ,6
2010,data.Tourism Satellite Account (TSA) ,6
2011,data.Tourism Satellite Account (TSA) ,6
2012,data.Tourism Satellite Account (TSA) ,7
2013,data.Tourism Satellite Account (TSA) ,6
2014,data.Tourism Satellite Account (TSA) ,7
2015,data.Tourism Satellite Account (TSA) ,6
2016,data.Tourism Satellite Account (TSA) ,6
2017,data.Tourism Satellite Account (TSA) ,7
2018,data.Tourism Satellite Account (TSA) ,6
2019,data.Tourism Satellite Account (TSA) ,6
2020,data.Tourism Satellite Account (TSA) ,6
2021,data.Tourism Satellite Account (TSA) ,6
2008,data.System of Environmental Economic Accounting (SEEA) ,0
2009,data.System of Environmental Economic Accounting (SEEA) ,3
2010,data.System of Environmental Economic Accounting (SEEA) ,2
2011,data.System of Environmental Economic Accounting (SEEA) ,3
2012,data.System of Environmental Economic Accounting (SEEA) ,2
2013,data.System of Environmental Economic Accounting (SEEA) ,3
2014,data.System of Environmental Economic Accounting (SEEA) ,2
2015,data.System of Environmental Economic Accounting (SEEA) ,3
2016,data.System of Environmental Economic Accounting (SEEA) ,2
2017,data.System of Environmental Economic Accounting (SEEA) ,3
2018,data.System of Environmental Economic Accounting (SEEA) ,2
2019,data.System of Environmental Economic Accounting (SEEA) ,2
2020,data.System of Environmental Economic Accounting (SEEA) ,0
2021,data.System of Environmental Economic Accounting (SEEA) ,0
