Year,Geography,Educational attainment level,Status,Sex,Age group,GeoCode,Value
2015,,,,,,,13
2016,,,,,,,13
2017,,,,,,,12
2018,,,,,,,12
2019,,,,,,,11
2020,,,,,,,14
2021,,,,,,,14
2022,,,,,,,11
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",,13
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",,13
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,,7
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,,7
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,,6
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,,11
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,,11
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,,10
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,,13
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,,14
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,,12
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,,14
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,,15
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,,13
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,,18
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,,17
2015,Canada,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,,19
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",,5
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",,7
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",,4
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,,2
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,,3
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,,2
2015,Canada,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,,5
