Year,Units,Flow type,Value
2015,"US dollar, Millions, 2024 constant prices",Commitments,871.922461
2015,"US dollar, Millions, 2024 constant prices",Disbursements,418.988127
2016,"US dollar, Millions, 2024 constant prices",Commitments,669.616215
2016,"US dollar, Millions, 2024 constant prices",Disbursements,474.634496
2017,"US dollar, Millions, 2024 constant prices",Commitments,224.004637
2017,"US dollar, Millions, 2024 constant prices",Disbursements,556.95954
2018,"US dollar, Millions, 2024 constant prices",Commitments,682.342624
2018,"US dollar, Millions, 2024 constant prices",Disbursements,684.975552
2019,"US dollar, Millions, 2024 constant prices",Commitments,548.380084
2019,"US dollar, Millions, 2024 constant prices",Disbursements,437.688096
2020,"US dollar, Millions, 2024 constant prices",Commitments,501.798591
2020,"US dollar, Millions, 2024 constant prices",Disbursements,685.712189
2021,"US dollar, Millions, 2024 constant prices",Commitments,623.232939
2021,"US dollar, Millions, 2024 constant prices",Disbursements,824.772446
2022,"US dollar, Millions, 2024 constant prices",Commitments,1186.204441
2022,"US dollar, Millions, 2024 constant prices",Disbursements,696.532707
2023,"US dollar, Millions, 2024 constant prices",Commitments,355.218182
2023,"US dollar, Millions, 2024 constant prices",Disbursements,609.313487
2024,"US dollar, Millions, 2024 constant prices",Commitments,244.280346
2024,"US dollar, Millions, 2024 constant prices",Disbursements,652.30948
