Year,Units,Measure,Value
2015,"US dollar, Millions, 2024 constant prices",Official Development Assistance,125.239385
2016,"US dollar, Millions, 2024 constant prices",Official Development Assistance,119.715933
2017,"US dollar, Millions, 2024 constant prices",Official Development Assistance,265.18351
2018,"US dollar, Millions, 2024 constant prices",Official Development Assistance,362.103524
2018,"US dollar, Millions, 2024 constant prices",Other Official Flows (non Export Credit),14.101931
2019,"US dollar, Millions, 2024 constant prices",Official Development Assistance,191.153931
2019,"US dollar, Millions, 2024 constant prices",Other Official Flows (non Export Credit),38.625996
2020,"US dollar, Millions, 2024 constant prices",Official Development Assistance,324.981419
2020,"US dollar, Millions, 2024 constant prices",Other Official Flows (non Export Credit),35.137761
2021,"US dollar, Millions, 2024 constant prices",Official Development Assistance,452.464461
2021,"US dollar, Millions, 2024 constant prices",Other Official Flows (non Export Credit),83.063681
2022,"US dollar, Millions, 2024 constant prices",Official Development Assistance,389.070156
2022,"US dollar, Millions, 2024 constant prices",Other Official Flows (non Export Credit),136.011772
2023,"US dollar, Millions, 2024 constant prices",Official Development Assistance,395.520972
2024,"US dollar, Millions, 2024 constant prices",Official Development Assistance,416.584131
2024,"US dollar, Millions, 2024 constant prices",Other Official Flows (non Export Credit),0.216363
2015,"US dollar, Millions, 2024 constant prices",,125.239385
2016,"US dollar, Millions, 2024 constant prices",,119.715933
2017,"US dollar, Millions, 2024 constant prices",,265.18351
2018,"US dollar, Millions, 2024 constant prices",,376.205455
2019,"US dollar, Millions, 2024 constant prices",,229.779927
2020,"US dollar, Millions, 2024 constant prices",,360.11918
2021,"US dollar, Millions, 2024 constant prices",,535.528142
2022,"US dollar, Millions, 2024 constant prices",,525.081928
2023,"US dollar, Millions, 2024 constant prices",,395.520972
2024,"US dollar, Millions, 2024 constant prices",,416.800494
