Year,Value,Units,Series,GeoCode
2015.0,85.07,Percentage,Proportion of employed labour force eligible for workers' compensation benefits,
2016.0,84.38,Percentage,Proportion of employed labour force eligible for workers' compensation benefits,
2017.0,84.4,Percentage,Proportion of employed labour force eligible for workers' compensation benefits,
2018.0,84.67,Percentage,Proportion of employed labour force eligible for workers' compensation benefits,
2019.0,84.52,Percentage,Proportion of employed labour force eligible for workers' compensation benefits,
2020.0,83.33,Percentage,Proportion of employed labour force eligible for workers' compensation benefits,
2021.0,83.62,Percentage,Proportion of employed labour force eligible for workers' compensation benefits,
2015.0,90.0,Percentage,Proportion of economic families with children receiving a child benefit,
2018.0,90.0,Percentage,Proportion of economic families with children receiving a child benefit,
2017.0,42.1,Ratio,Ratio of unemployed receiving benefits,
2018.0,39.3,Ratio,Ratio of unemployed receiving benefits,
2017.0,84.3,Percentage,Proportion of the unemployed eligible for Employment Insurance benefits,
2018.0,87.4,Percentage,Proportion of the unemployed eligible for Employment Insurance benefits,
2017.0,93.4,Percentage,Proportion of older persons receiving a pension,
2018.0,93.7,Percentage,Proportion of older persons receiving a pension,
2017.0,70.6,Percentage,Percentage of mothers with a child aged 12 months or less that received maternity or parental benefits,
2018.0,66.6,Percentage,Percentage of mothers with a child aged 12 months or less that received maternity or parental benefits,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
