Year,Value,Units,Series
2020,4.0,Percentage,Number of (shared) basins showing high surface-water extent changes
2015,1.0,Percentage,Number of (shared) basins showing high surface-water extent changes
2020,57.0,Number,Number of (shared) basins showing high surface-water extent changes
2015,18.0,Number,Number of (shared) basins showing high surface-water extent changes
2015,916917.6,Square kilometers,Permanent water
2016,914878.3,Square kilometers,Permanent water
2017,916342.4,Square kilometers,Permanent water
2018,914773.6,Square kilometers,Permanent water
2019,914479.7,Square kilometers,Permanent water
2020,919584.5,Square kilometers,Permanent water
2015,81623.6,Square kilometers,Seasonal water
2016,95379.5,Square kilometers,Seasonal water
2017,98646.4,Square kilometers,Seasonal water
2018,92557.1,Square kilometers,Seasonal water
2019,94042.2,Square kilometers,Seasonal water
2020,103943.7,Square kilometers,Seasonal water
2015,91380.6,Square kilometers,"Reservoirs, maximum water extent"
2016,91729.2,Square kilometers,"Reservoirs, maximum water extent"
2017,91837.1,Square kilometers,"Reservoirs, maximum water extent"
2018,91694.7,Square kilometers,"Reservoirs, maximum water extent"
2019,91754.4,Square kilometers,"Reservoirs, maximum water extent"
2020,91730.5,Square kilometers,"Reservoirs, maximum water extent"
2021,91630.4,Square kilometers,"Reservoirs, maximum water extent"
2015,89658.9,Square kilometers,"Reservoirs, minimum water extent"
2016,89908.0,Square kilometers,"Reservoirs, minimum water extent"
2017,90119.3,Square kilometers,"Reservoirs, minimum water extent"
2018,90112.9,Square kilometers,"Reservoirs, minimum water extent"
2019,90124.0,Square kilometers,"Reservoirs, minimum water extent"
2020,90059.8,Square kilometers,"Reservoirs, minimum water extent"
2021,89872.9,Square kilometers,"Reservoirs, minimum water extent"
2016/18 (baseline),806938.0,Square kilometers,Wetlands area
2016/18 (baseline),8.17,Percentage,Wetlands area
2017,58.1,Percentage,"Lake water quality, low turbidity"
2017,15.7,Percentage,"Lake water quality, medium turbidity"
2017,15.0,Percentage,"Lake water quality, high turbidity"
2017,11.2,Percentage,"Lake water quality, extreme turbidity"
2018,55.2,Percentage,"Lake water quality, low turbidity"
2018,14.9,Percentage,"Lake water quality, medium turbidity"
2018,15.7,Percentage,"Lake water quality, high turbidity"
2018,14.3,Percentage,"Lake water quality, extreme turbidity"
2019,49.7,Percentage,"Lake water quality, low turbidity"
2019,15.3,Percentage,"Lake water quality, medium turbidity"
2019,18.9,Percentage,"Lake water quality, high turbidity"
2019,16.2,Percentage,"Lake water quality, extreme turbidity"
2020,58.5,Percentage,"Lake water quality, low turbidity"
2020,13.2,Percentage,"Lake water quality, medium turbidity"
2020,12.6,Percentage,"Lake water quality, high turbidity"
2020,15.8,Percentage,"Lake water quality, extreme turbidity"
2021,56.7,Percentage,"Lake water quality, low turbidity"
2021,14.6,Percentage,"Lake water quality, medium turbidity"
2021,14.8,Percentage,"Lake water quality, high turbidity"
2021,13.9,Percentage,"Lake water quality, extreme turbidity"
2017,73.1,Percentage,"Lake water quality, low trophic"
2017,18.4,Percentage,"Lake water quality, medium trophic"
2017,7.3,Percentage,"Lake water quality, high trophic"
2017,1.3,Percentage,"Lake water quality, extreme trophic"
2018,72.9,Percentage,"Lake water quality, low trophic"
2018,16.8,Percentage,"Lake water quality, medium trophic"
2018,8.1,Percentage,"Lake water quality, high trophic"
2018,2.2,Percentage,"Lake water quality, extreme trophic"
2019,88.6,Percentage,"Lake water quality, low trophic"
2019,8.1,Percentage,"Lake water quality, medium trophic"
2019,2.5,Percentage,"Lake water quality, high trophic"
2019,0.7,Percentage,"Lake water quality, extreme trophic"
2020,85.8,Percentage,"Lake water quality, low trophic"
2020,10.0,Percentage,"Lake water quality, medium trophic"
2020,3.4,Percentage,"Lake water quality, high trophic"
2020,0.9,Percentage,"Lake water quality, extreme trophic"
2021,86.7,Percentage,"Lake water quality, low trophic"
2021,8.2,Percentage,"Lake water quality, medium trophic"
2021,3.7,Percentage,"Lake water quality, high trophic"
2021,1.3,Percentage,"Lake water quality, extreme trophic"
