Year,Value,Units
2015,0.586365,"US dollar, Millions, 2024 constant prices"
2016,2.271176,"US dollar, Millions, 2024 constant prices"
2017,141.716557,"US dollar, Millions, 2024 constant prices"
2018,183.474525,"US dollar, Millions, 2024 constant prices"
2019,89.791898,"US dollar, Millions, 2024 constant prices"
2020,219.012828,"US dollar, Millions, 2024 constant prices"
2021,291.54617,"US dollar, Millions, 2024 constant prices"
2022,290.792843,"US dollar, Millions, 2024 constant prices"
2023,290.043991,"US dollar, Millions, 2024 constant prices"
2024,139.598416,"US dollar, Millions, 2024 constant prices"
