Year,Value,Units
2016,22.25,"Number of commercial bank branches per 100,000 adults"
2017,20.75,"Number of commercial bank branches per 100,000 adults"
2018,20.13,"Number of commercial bank branches per 100,000 adults"
2019,19.73,"Number of commercial bank branches per 100,000 adults"
2020,20.17,"Number of commercial bank branches per 100,000 adults"
2016,223.89,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,228.42,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,219.96,"Number of automated teller machines (ATMs) per 100,000 adults"
2019,214.12,"Number of automated teller machines (ATMs) per 100,000 adults"
2020,210.23,"Number of automated teller machines (ATMs) per 100,000 adults"
