Value,en,fr,Disaggregation combinations using this value,Number of indicators
35 to 54 years,35 to 54 years,35 à 54 ans,6,2
55 years and over,55 years and over,55 ans et plus,6,2
Farms only reporting area owned,Farms only reporting area owned,Fermes déclarant uniquement la superficie qu'elles possèdent,1,1
Farms only reporting area rented or leased from others only,Farms only reporting area rented or leased from others only,Fermes déclarant uniquement les superficies louées à des tiers,1,1
Farms reporting area owned and rented or leased from others,Farms reporting area owned and rented or leased from others,Fermes déclarant la superficie qu'elles possèdent et les superficies louées à des tiers,1,1
Female farm operator,Female farm operator,Population agricole (femme),1,1
Female,Female,Femme,6,2
Male farm operator,Male farm operator,Population agricole (homme),1,1
Male,Male,Homme,6,2
Total,Total,Total,4,2
Under 35 years,Under 35 years,Moins de 35 ans,6,2
