Value,en,fr,Disaggregation combinations using this value,Number of indicators
Afghanistan,Afghanistan,Afghanistan,1,1
Albania,Albania,Albanie,1,1
Algeria,Algeria,Algérie,1,1
Angola,Angola,Angola,1,1
Antigua and Barbuda,Antigua and Barbuda,Antigua-et-Barbuda,1,1
Argentina,Argentina,Argentine,1,1
Armenia,Armenia,Arménie,1,1
Australia,Australia,Australie,1,1
Austria,Austria,Autriche,1,1
Azerbaijan,Azerbaijan,Azerbaïdjan,1,1
Bahamas,Bahamas,Bahamas,1,1
Bahrain,Bahrain,Bahreïn,1,1
Bangladesh,Bangladesh,Bangladesh,1,1
Barbados,Barbados,Barbade,1,1
Belarus,Belarus,Bélarus,1,1
Belgium,Belgium,Belgique,1,1
Belize,Belize,Belize,1,1
Benin,Benin,Bénin,1,1
Bermuda,Bermuda,Bermudes,1,1
Bhutan,Bhutan,Bhoutan,1,1
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine,1,1
Botswana,Botswana,Botswana,1,1
Brazil,Brazil,Brésil,1,1
Brunei Darussalam,Brunei Darussalam,Brunéi Darussalam,1,1
Bulgaria,Bulgaria,Bulgarie,1,1
Burkina Faso,Burkina Faso,Burkina Faso,1,1
Burundi,Burundi,Burundi,1,1
Cambodia,Cambodia,Cambodge,1,1
Cameroon,Cameroon,Cameroun,1,1
Canada,Canada,Canada,1,1
Central African Republic,Central African Republic,République centrafricaine,1,1
Chad,Chad,Tchad,1,1
Chile,Chile,Chili,1,1
China,China,Chine,1,1
Colombia,Colombia,Colombie,1,1
Comoros,Comoros,Comores,1,1
Costa Rica,Costa Rica,Costa Rica,1,1
Croatia,Croatia,Croatie,1,1
Cuba,Cuba,Cuba,1,1
Curaçao,Curaçao,Curaçao,1,1
Cyprus,Cyprus,Chypre,1,1
Czechia,Czechia,Tchéquie,1,1
Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,1,1
Denmark,Denmark,Danemark,1,1
Djibouti,Djibouti,Djibouti,1,1
Dominica,Dominica,Dominique,1,1
Dominican Republic,Dominican Republic,République dominicaine,1,1
Ecuador,Ecuador,Équateur,1,1
Egypt,Egypt,Égypte,1,1
El Salvador,El Salvador,El Salvador,1,1
Equatorial Guinea,Equatorial Guinea,Guinée équatoriale,1,1
Eritrea,Eritrea,Érythrée,1,1
Estonia,Estonia,Estonie,1,1
Eswatini,Eswatini,Eswatini,1,1
Ethiopia,Ethiopia,Éthiopie,1,1
Fiji,Fiji,Fidji,1,1
Finland,Finland,Finlande,1,1
France,France,France,1,1
Gabon,Gabon,Gabon,1,1
Gambia,Gambia,Gambie,1,1
Georgia,Georgia,Géorgie,1,1
Germany,Germany,Allemagne,1,1
Ghana,Ghana,Ghana,1,1
Greece,Greece,Grèce,1,1
Grenada,Grenada,Grenade,1,1
Guatemala,Guatemala,Guatemala,1,1
Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,1,1
Guinea,Guinea,Guinée,1,1
Guyana,Guyana,Guyana,1,1
Haiti,Haiti,Haïti,1,1
Honduras,Honduras,Honduras,1,1
Hungary,Hungary,Hongrie,1,1
India,India,Inde,1,1
Indonesia,Indonesia,Indonésie,1,1
Iraq,Iraq,Irak,1,1
Ireland,Ireland,Irlande,1,1
Israel,Israel,Israël,1,1
Italy,Italy,Italie,1,1
Jamaica,Jamaica,Jamaïque,1,1
Japan,Japan,Japon,1,1
Jordan,Jordan,Jordanie,1,1
Kazakhstan,Kazakhstan,Kazakhstan,1,1
Kenya,Kenya,Kenya,1,1
Kuwait,Kuwait,Koweït,1,1
Kyrgyzstan,Kyrgyzstan,Kirghizistan,1,1
Latvia,Latvia,Lettonie,1,1
Lebanon,Lebanon,Liban,1,1
Lesotho,Lesotho,Lesotho,1,1
Liberia,Liberia,Libéria,1,1
Libya,Libya,Libye,1,1
Lithuania,Lithuania,Lituanie,1,1
Madagascar,Madagascar,Madagascar,1,1
Malawi,Malawi,Malawi,1,1
Malaysia,Malaysia,Malaisie,1,1
Mali,Mali,Mali,1,1
Malta,Malta,Malte,1,1
Mauritania,Mauritania,Mauritanie,1,1
Mauritius,Mauritius,Maurice,1,1
Mexico,Mexico,Mexique,1,1
Mongolia,Mongolia,Mongolie,1,1
Montenegro,Montenegro,Monténégro,1,1
Morocco,Morocco,Maroc,1,1
Mozambique,Mozambique,Mozambique,1,1
Myanmar,Myanmar,Myanmar,1,1
Namibia,Namibia,Namibie,1,1
Nepal,Nepal,Népal,1,1
Netherlands,Netherlands,Pays-Bas,1,1
New Caledonia,New Caledonia,Nouvelle-Calédonie,1,1
New Zealand,New Zealand,Nouvelle-Zélande,1,1
Nicaragua,Nicaragua,Nicaragua,1,1
Niger,Niger,Niger,1,1
Nigeria,Nigeria,Nigéria,1,1
North Macedonia,North Macedonia,Macédoine du Nord,1,1
Norway,Norway,Norvège,1,1
Oman,Oman,Oman,1,1
Pakistan,Pakistan,Pakistan,1,1
Panama,Panama,Panama,1,1
Papua New Guinea,Papua New Guinea,Papouasie-Nouvelle-Guinée,1,1
Paraguay,Paraguay,Paraguay,1,1
Peru,Peru,Pérou,1,1
Philippines,Philippines,Philippines,1,1
Poland,Poland,Pologne,1,1
Portugal,Portugal,Portugal,1,1
Qatar,Qatar,Qatar,1,1
Romania,Romania,Roumanie,1,1
Russian Federation,Russian Federation,Fédération de Russie,1,1
Rwanda,Rwanda,Rwanda,1,1
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint-Christophe-et-Niévès,1,1
Saint Lucia,Saint Lucia,Sainte-Lucie,1,1
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,1,1
Saudi Arabia,Saudi Arabia,Arabie saoudite,1,1
Senegal,Senegal,Sénégal,1,1
Serbia,Serbia,Serbie,1,1
Seychelles,Seychelles,Seychelles,1,1
Sierra Leone,Sierra Leone,Sierra Leone,1,1
Singapore,Singapore,Singapour,1,1
Slovakia,Slovakia,Slovaquie,1,1
Slovenia,Slovenia,Slovénie,1,1
Somalia,Somalia,Somalie,1,1
South Sudan,South Sudan,Soudan du Sud,1,1
Spain,Spain,Espagne,1,1
Sri Lanka,Sri Lanka,Sri Lanka,1,1
Sudan,Sudan,Soudan,1,1
Suriname,Suriname,Suriname,1,1
Sweden,Sweden,Suède,1,1
Switzerland,Switzerland,Suisse,1,1
Tajikistan,Tajikistan,Tadjikistan,1,1
Thailand,Thailand,Thaïlande,1,1
Togo,Togo,Togo,1,1
Trinidad and Tobago,Trinidad and Tobago,Trinité-et-Tobago,1,1
Tunisia,Tunisia,Tunisie,1,1
Turkmenistan,Turkmenistan,Turkménistan,1,1
Uganda,Uganda,Ouganda,1,1
Ukraine,Ukraine,Ukraine,1,1
United Arab Emirates,United Arab Emirates,Émirats arabes unis,1,1
United Kingdom,United Kingdom,Royaume-Uni,1,1
United States of America,United States of America,États-Unis d'Amérique,1,1
Uruguay,Uruguay,Uruguay,1,1
Uzbekistan,Uzbekistan,Ouzbékistan,1,1
Viet Nam,Viet Nam,Viêt Nam,1,1
Yemen,Yemen,Yémen,1,1
Zambia,Zambia,Zambie,1,1
Zimbabwe,Zimbabwe,Zimbabwe,1,1
