Value,Disaggregation combinations using this value,Number of indicators
Did not experience discrimination or unfair treatment in Canada,202,1
Discrimination at school,177,1
Discrimination at work,178,1
Discrimination by or among friends or family,178,1
Discrimination in any other situation,178,1
"Discrimination in public areas, a store, bank or restaurant",178,1
Discrimination on the Internet,178,1
Discrimination when interacting with the healthcare system,178,1
Discrimination while using public transit,177,1
Experienced discrimination or unfair treatment in Canada,193,1
