Value,Disaggregation combinations using this value,Number of indicators
Apprenticeship or trades certificate or diploma,29,1
Bachelor's degree or higher,29,1
Bachelor's degree,29,1
"College, CEGEP or other non-university certificate or diploma",29,1
"No certificate, diploma or degree",29,1
"Postsecondary certificate, diploma or degree",29,1
Postsecondary certificate or diploma below bachelor level,29,1
Secondary (high) school diploma or equivalency certificate,29,1
"Total, highest certificate, diploma or degree",21,1
"University certificate, diploma or degree above bachelor level",29,1
University certificate or diploma below bachelor level,29,1
