Value,Disaggregation combinations using this value,Number of indicators
At least some primary (ISCED 1),1,1
Bachelors degree or higher,70,1
"College, trade school or some university",70,1
Completed Bachelor's or equivalent education or higher,6,1
Completed Doctoral or equivalent education,6,1
Completed lower secondary education or higher,1,1
Completed Master's or equivalent education or higher,6,1
Completed post-secondary non-tertiary education or higher,6,1
Completed primary education or higher,1,1
Completed short-cycle tertiary education or higher,6,1
Completed upper secondary education or higher,6,1
High school or less,70,1
Lower secondary education,2,1
Primary education,1,1
"Total, highest certificate, diploma or degree completed",70,1
Upper secondary education,3,1
