Value,en,fr,Disaggregation combinations using this value,Number of indicators
All persons,All persons,Toutes les personnes,49,2
"Men+, 18 to 64 years","Men+, 18 to 64 years","Men+, 18 to 64 years",25,1
"Men+, 65 years and over","Men+, 65 years and over","Men+, 65 years and over",25,1
"Men+, under 18 years","Men+, under 18 years","Men+, under 18 years",24,1
Men+,Men+,Hommes+,25,1
Persons 18 to 64 years,Persons 18 to 64 years,Personnes de 18 à 64 ans,51,2
Persons 65 years and over,Persons 65 years and over,Personnes de 65 ans et plus,51,2
Persons under 18 years,Persons under 18 years,Personnes de moins de 18 ans,50,2
"Women+, 18 to 64 years","Women+, 18 to 64 years","Women+, 18 to 64 years",25,1
"Women+, 65 years and over","Women+, 65 years and over","Women+, 65 years and over",23,1
"Women+, under 18 years","Women+, under 18 years","Women+, under 18 years",25,1
Women+,Women+,Femmes+,25,1
