Value,en,fr,Disaggregation combinations using this value,Number of indicators
-1.0,-1.0,-1.0,45,1
0.5732,0.5732,0.5732,1,1
0.5774,0.5774,0.5774,1,1
0.6255,0.6255,0.6255,1,1
0.6269,0.6269,0.6269,1,1
0.6278,0.6278,0.6278,1,1
0.6301,0.6301,0.6301,1,1
0.6317,0.6317,0.6317,1,1
0.6442,0.6442,0.6442,1,1
0.6579,0.6579,0.6579,1,1
0.6711,0.6711,0.6711,1,1
0.6756,0.6756,0.6756,1,1
0.684,0.684,0.684,1,1
0.687,0.687,0.687,1,1
0.69,0.69,0.69,1,1
0.6934,0.6934,0.6934,1,1
0.6968,0.6968,0.6968,1,1
0.7012,0.7012,0.7012,1,1
0.7015,0.7015,0.7015,1,1
0.7019,0.7019,0.7019,1,1
0.7153,0.7153,0.7153,1,1
0.7155,0.7155,0.7155,1,1
0.7183,0.7183,0.7183,1,1
0.7192,0.7192,0.7192,1,1
0.727,0.727,0.727,1,1
0.7275,0.7275,0.7275,1,1
0.7308,0.7308,0.7308,1,1
0.732,0.732,0.732,1,1
0.7321,0.7321,0.7321,1,1
0.7345,0.7345,0.7345,1,1
0.7368,0.7368,0.7368,1,1
0.7399,0.7399,0.7399,1,1
0.7445,0.7445,0.7445,1,1
0.7506,0.7506,0.7506,1,1
0.7559,0.7559,0.7559,1,1
0.7612,0.7612,0.7612,1,1
0.7624,0.7624,0.7624,1,1
0.7642,0.7642,0.7642,1,1
0.7679,0.7679,0.7679,1,1
0.7714,0.7714,0.7714,1,1
0.772,0.772,0.772,1,1
0.7731,0.7731,0.7731,1,1
0.7784,0.7784,0.7784,1,1
0.7807,0.7807,0.7807,1,1
0.7859,0.7859,0.7859,1,1
0.791,0.791,0.791,1,1
0.7964,0.7964,0.7964,1,1
0.7965,0.7965,0.7965,1,1
0.8018,0.8018,0.8018,1,1
0.8045,0.8045,0.8045,1,1
0.8164,0.8164,0.8164,1,1
0.8176,0.8176,0.8176,1,1
0.8203,0.8203,0.8203,1,1
0.8243,0.8243,0.8243,1,1
0.8306,0.8306,0.8306,1,1
0.8312,0.8312,0.8312,1,1
0.8331,0.8331,0.8331,1,1
0.8351,0.8351,0.8351,1,1
0.8361,0.8361,0.8361,1,1
0.8384,0.8384,0.8384,1,1
0.8407,0.8407,0.8407,1,1
0.8477,0.8477,0.8477,1,1
0.8539,0.8539,0.8539,1,1
0.857,0.857,0.857,1,1
0.8575,0.8575,0.8575,1,1
0.8579,0.8579,0.8579,1,1
0.8645,0.8645,0.8645,1,1
0.8656,0.8656,0.8656,1,1
0.8672,0.8672,0.8672,1,1
0.8703,0.8703,0.8703,1,1
0.8761,0.8761,0.8761,1,1
0.8851,0.8851,0.8851,1,1
0.8888,0.8888,0.8888,1,1
0.8918,0.8918,0.8918,1,1
0.8977,0.8977,0.8977,1,1
0.9023,0.9023,0.9023,1,1
0.9027,0.9027,0.9027,1,1
0.9078,0.9078,0.9078,1,1
0.9079,0.9079,0.9079,1,1
0.9119,0.9119,0.9119,1,1
0.9145,0.9145,0.9145,1,1
0.9151,0.9151,0.9151,1,1
0.9186,0.9186,0.9186,1,1
0.9205,0.9205,0.9205,1,1
0.9239,0.9239,0.9239,1,1
0.9252,0.9252,0.9252,2,1
0.9253,0.9253,0.9253,1,1
0.9257,0.9257,0.9257,2,1
0.9272,0.9272,0.9272,1,1
0.9286,0.9286,0.9286,1,1
0.9291,0.9291,0.9291,1,1
0.9301,0.9301,0.9301,1,1
0.9319,0.9319,0.9319,1,1
0.9336,0.9336,0.9336,2,1
0.9339,0.9339,0.9339,2,1
0.9356,0.9356,0.9356,2,1
0.9358,0.9358,0.9358,1,1
0.936,0.936,0.936,1,1
0.9373,0.9373,0.9373,1,1
0.939,0.939,0.939,1,1
0.9414,0.9414,0.9414,2,1
0.9512,0.9512,0.9512,1,1
0.954,0.954,0.954,1,1
0.9565,0.9565,0.9565,1,1
0.9568,0.9568,0.9568,2,1
0.9587,0.9587,0.9587,1,1
0.9601,0.9601,0.9601,1,1
0.9644,0.9644,0.9644,1,1
0.968,0.968,0.968,1,1
0.9709,0.9709,0.9709,1,1
0.9741,0.9741,0.9741,2,1
0.976,0.976,0.976,1,1
0.9778,0.9778,0.9778,1,1
0.9795,0.9795,0.9795,1,1
0.9807,0.9807,0.9807,1,1
0.981,0.981,0.981,1,1
0.9848,0.9848,0.9848,1,1
0.9872,0.9872,0.9872,2,1
0.9878,0.9878,0.9878,1,1
0.9879,0.9879,0.9879,1,1
0.9885,0.9885,0.9885,1,1
0.991,0.991,0.991,1,1
0.9924,0.9924,0.9924,2,1
0.9957,0.9957,0.9957,1,1
0.996,0.996,0.996,1,1
0.9965,0.9965,0.9965,1,1
0.9986,0.9986,0.9986,2,1
0.9996,0.9996,0.9996,1,1
0.9997,0.9997,0.9997,1,1
1.0,1.0,1.0,50,3
10.0,10.0,10.0,24,1
1.0007,1.0007,1.0007,1,1
100.1,100.1,100.1,1,1
100166354.96,100166354.96,100166354.96,1,1
100282.36,100282.36,100282.36,1,1
100.3,100.3,100.3,1,1
1.0043,1.0043,1.0043,2,1
