Value,en,fr,Disaggregation combinations using this value,Number of indicators
1. Political Commitment,1. Political Commitment,1. Engagement politique,1,1
2. Long-term Vision,2. Long-term Vision,2. Vision à long terme,1,1
3. The Integration of Sustainable Development into Policy and Finance,3. The Integration of Sustainable Development into Policy and Finance,3. Intégration du développement durable dans les politiques et les finances,1,1
4. Whole-of-government Coordination,4. Whole-of-government Coordination,4. Coordination à l'échelle de l'ensemble du gouvernement,1,1
5. Sub-national Engagement,5. Sub-national Engagement,5. Implication infranationale,1,1
6. Stakeholder-engagement,6. Stakeholder-engagement,6. Participation des parties prenantes,1,1
7. Impact Assessment,7. Impact Assessment,7. Évaluation d'impact,1,1
"8. Monitoring, Evaluation, and Reporting","8. Monitoring, Evaluation, and Reporting","8. Suivi, évaluation et rapports",1,1
Adaptation,Adaptation,Adaptation,1,1
Cross-cutting,Cross-cutting,Transversal,1,1
Mitigation,Mitigation,Atténuation,1,1
