Value,Disaggregation combinations using this value,Number of indicators
Arab,48,3
Black,87,3
Chinese,75,3
Filipino,69,3
Korean,2,1
Latin American,49,3
Multiple visible minorities,12,1
Non-visible minority,2,1
Not a visible minority,241,5
"Not stated, visible minority population",14,1
Other visible minority,32,1
South Asian,78,3
Southeast Asian,35,3
"Total, by visible minority group",20,1
Total population,7,1
Total visible minority population,8,1
"Total, visible minority population",125,1
Visible minority population,172,3
Visible minority,3,2
West Asian,2,1
